id,district_id,forecast_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
0402,04,02,41718,13677,33049,28041,5008,8669,100.0,32.78440960736373,79.22000095881873,67.21559039263627,12.004410566182463,20.779999041181267
0403,04,03,144572,64816,104472,79756,24716,40100,100.0,44.83302437539772,72.2629554823894,55.16697562460228,17.095979857787125,27.737044517610602
0404,04,04,52407,16471,43297,35936,7361,9110,100.0,31.429007575323908,82.61682599652718,68.57099242467609,14.045833571851087,17.383174003472817
0405,04,05,80605,32573,60958,48032,12926,19647,100.0,40.41064450096148,75.62558153960673,59.58935549903852,16.036226040568202,24.374418460393276
0406,04,06,78,18,63,60,3,15,100.0,23.076923076923077,80.76923076923077,76.92307692307693,3.8461538461538463,19.230769230769234
0501,05,01,102849,38481,81601,64368,17233,21248,100.0,37.415045357757485,79.34058668533481,62.58495464224251,16.7556320430923,20.65941331466519
0502,05,02,90944,30538,74098,60406,13692,16846,100.0,33.57890570021112,81.4765130190007,66.42109429978889,15.055418719211822,18.523486980999294
0503,05,03,28354,12596,22140,15758,6382,6214,100.0,44.42406715101926,78.08422092121042,55.57593284898075,22.508288072229668,21.915779078789587
0504,05,04,19996,3576,18398,16420,1978,1598,100.0,17.883576715343068,92.00840168033608,82.11642328465693,9.891978395679136,7.991598319663932
0601,06,01,75091,22512,63292,52579,10713,11799,100.0,29.979624722003965,84.2870650277663,70.02037527799602,14.26668974977028,15.712934972233688
0602,06,02,78416,20627,67903,57789,10114,10513,100.0,26.30458069781677,86.59329728626811,73.69541930218323,12.897877984084879,13.40670271373189
0603,06,03,83836,21136,72330,62700,9630,11506,100.0,25.21112648504222,86.27558566725511,74.78887351495777,11.486712152297343,13.724414332744884
0604,06,04,69733,16617,60409,53116,7293,9324,100.0,23.82946381196851,86.62899918259647,76.17053618803149,10.458462994564984,13.371000817403525
0701,07,01,50640,25825,34701,24815,9886,15939,100.0,50.99723538704581,68.52488151658768,49.00276461295419,19.522116903633492,31.475118483412324
0702,07,02,50839,20116,39094,30723,8371,11745,100.0,39.56804815200928,76.89765731033262,60.43195184799072,16.465705462341905,23.10234268966738
0703,07,03,46644,14804,38727,31840,6887,7917,100.0,31.73827287539662,83.0267558528428,68.26172712460338,14.765028728239429,16.97324414715719
0704,07,04,64572,24127,51466,40445,11021,13106,100.0,37.36449234962522,79.70327696215078,62.63550765037478,17.067769311776,20.296723037849222
0705,07,05,52379,17414,43664,34965,8699,8715,100.0,33.24614826552626,83.36165257068673,66.75385173447374,16.607800836212984,16.638347429313274
0706,07,06,32415,11605,27043,20810,6233,5372,100.0,35.801326546351994,83.42742557457967,64.198673453648,19.228752120931667,16.57257442542033
0707,07,07,51250,11689,45647,39561,6086,5603,100.0,22.80780487804878,89.06731707317073,77.19219512195123,11.875121951219512,10.932682926829267
0801,08,01,167381,91637,110159,75744,34415,57222,100.0,54.74755199216159,65.81332409293766,45.2524480078384,20.560876085099263,34.18667590706233
0802,08,02,71755,25147,59181,46608,12573,12574,100.0,35.045641418716464,82.47648247508884,64.95435858128353,17.52212389380531,17.523517524911156
0803,08,03,37023,17455,29980,19568,10412,7043,100.0,47.14636847365151,80.97669016557275,52.85363152634849,28.12305863922427,19.02330983442725
0804,08,04,53228,13850,47622,39378,8244,5606,100.0,26.020139776057714,89.46794919966935,73.97986022394228,15.48808897572706,10.532050800330653
0901,09,01,61918,10666,55579,51252,4327,6339,100.0,17.226008592008785,89.76226622306922,82.7739914079912,6.9882748150780065,10.23773377693078
0902,09,02,63663,11483,55508,52180,3328,8155,100.0,18.03716444402557,87.19036174858238,81.96283555597442,5.227526192607952,12.80963825141762
0903,09,03,50550,6350,47077,44200,2877,3473,100.0,12.561819980217606,93.1295746785361,87.4381800197824,5.691394658753709,6.870425321463896
0904,09,04,37002,3441,34909,33561,1348,2093,100.0,9.299497324468947,94.34354899735149,90.70050267553104,3.6430463218204423,5.656451002648506
0905,09,05,51866,4028,49514,47838,1676,2352,100.0,7.766166660239849,95.4652373423823,92.23383333976015,3.2314040026221416,4.534762657617708
1001,10,01,111125,25156,98076,85969,12107,13049,100.0,22.63757030371204,88.25736782902138,77.36242969628796,10.894938132733408,11.742632170978627
1002,10,02,80949,15712,71508,65237,6271,9441,100.0,19.409751819046562,88.33710113775341,80.59024818095344,7.74685295679996,11.6628988622466
1003,10,03,26756,3763,24513,22993,1520,2243,100.0,14.06413514725669,91.61683360741516,85.93586485274331,5.6809687546718495,8.383166392584842
1004,10,04,47854,3260,46330,44594,1736,1524,100.0,6.812387679190872,96.81531324445187,93.18761232080914,3.6277009236427467,3.184686755548125
1101,11,01,60779,13921,52702,46858,5844,8077,100.0,22.904292601062867,86.71087053093997,77.09570739893714,9.615163132002829,13.289129469060038
1102,11,02,48151,10300,41221,37851,3370,6930,100.0,21.391040684513303,85.60777553944881,78.60895931548669,6.998816223962119,14.392224460551184
1103,11,03,73571,21866,58760,51705,7055,14811,100.0,29.720949830775712,79.86842641801798,70.27905016922429,9.589376248793682,20.131573581982032
