id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
01011305,01,01,13,05,7833,2866,5911,4967,944,1922,100.0,36.5887910123835,75.46278565045321,63.4112089876165,12.051576662836716,24.53721434954679
01011306,01,01,13,06,10328,4340,7351,5988,1363,2977,100.0,42.02168861347793,71.17544539116963,57.97831138652207,13.197134004647559,28.824554608830365
01011401,01,01,14,01,17364,7155,12158,10209,1949,5206,100.0,41.205943331029715,70.01842893342548,58.794056668970285,11.224372264455194,29.98157106657452
01011402,01,01,14,02,13507,5148,9954,8359,1595,3553,100.0,38.113570741097206,73.6951210483453,61.88642925890279,11.808691789442511,26.304878951654697
01022101,01,02,21,01,3627,1933,2288,1694,594,1339,100.0,53.29473393989523,63.08243727598566,46.70526606010477,16.377171215880892,36.91756272401434
01022102,01,02,21,02,6517,3925,3799,2592,1207,2718,100.0,60.22709835814025,58.29369341721651,39.772901641859754,18.52079177535676,41.70630658278348
01022103,01,02,21,03,258,186,123,72,51,135,100.0,72.09302325581395,47.674418604651166,27.906976744186046,19.767441860465116,52.32558139534884
01022104,01,02,21,04,18820,9335,12741,9485,3256,6079,100.0,49.60148777895855,67.69925611052072,50.39851222104145,17.30074388947928,32.30074388947928
01022105,01,02,21,05,5354,3119,3367,2235,1132,1987,100.0,58.25550989914083,62.88756070227867,41.744490100859174,21.1430706014195,37.11243929772133
01022106,01,02,21,06,11463,3940,9190,7523,1667,2273,100.0,34.37145598883364,80.17098490796477,65.62854401116635,14.542440896798395,19.82901509203524
01022201,01,02,22,01,11020,5429,7657,5591,2066,3363,100.0,49.26497277676951,69.48275862068965,50.73502722323049,18.747731397459166,30.517241379310345
01022202,01,02,22,02,1618,1050,1082,568,514,536,100.0,64.89493201483313,66.87268232385661,35.10506798516687,31.767614338689743,33.127317676143385
01022203,01,02,22,03,7122,4234,4659,2888,1771,2463,100.0,59.449592811008145,65.41701769165965,40.550407188991855,24.86661050266779,34.582982308340355
01022204,01,02,22,04,6010,2519,4428,3491,937,1582,100.0,41.91347753743761,73.67720465890183,58.08652246256239,15.590682196339433,26.32279534109817
01022205,01,02,22,05,3329,2029,2244,1300,944,1085,100.0,60.949234004205465,67.40762991889456,39.050765995794535,28.35686392310003,32.592370081105436
01022206,01,02,22,06,3012,1214,2338,1798,540,674,100.0,40.30544488711819,77.62284196547145,59.69455511288181,17.928286852589643,22.377158034528552
01022207,01,02,22,07,5727,2563,3897,3164,733,1830,100.0,44.75292474244805,68.0460974332111,55.24707525755195,12.799022175659157,31.953902566788894
01033101,01,03,31,01,26808,16654,15875,10154,5721,10933,100.0,62.123246792002384,59.217397791703974,37.87675320799761,21.340644583706357,40.78260220829603
01033102,01,03,31,02,12120,7398,7418,4722,2696,4702,100.0,61.039603960396036,61.2046204620462,38.960396039603964,22.244224422442244,38.79537953795379
01033201,01,03,32,01,13477,8970,9340,4507,4833,4137,100.0,66.55783928173926,69.30325740149885,33.44216071826074,35.86109668323811,30.696742598501146
01033202,01,03,32,02,9789,5436,7176,4353,2823,2613,100.0,55.5317192767392,73.30677290836654,44.4682807232608,28.83849218510573,26.693227091633464
01033203,01,03,32,03,14473,9180,8693,5293,3400,5780,100.0,63.42845298141366,60.06356664133213,36.57154701858633,23.4920196227458,39.93643335866787
01044101,01,04,41,01,20920,10041,14448,10879,3569,6472,100.0,47.99713193116635,69.06309751434034,52.00286806883365,17.060229445506693,30.936902485659658
01044102,01,04,41,02,16420,6405,12581,10015,2566,3839,100.0,39.00730816077954,76.61997563946407,60.992691839220456,15.627283800243605,23.38002436053593
01044103,01,04,41,03,8676,4573,5476,4103,1373,3200,100.0,52.708621484555096,63.11664361456892,47.291378515444904,15.82526509912402,36.88335638543108
01044201,01,04,42,01,24302,16508,13662,7794,5868,10640,100.0,67.92856555016049,56.217595259649414,32.07143444983952,24.146160809809892,43.782404740350586
01044202,01,04,42,02,16926,9796,10072,7130,2942,6854,100.0,57.87545787545788,59.506085312536925,42.124542124542124,17.3815431879948,40.493914687463075
01044203,01,04,42,03,16657,9833,9994,6824,3170,6663,100.0,59.03223869844509,59.99879930359609,40.9677613015549,19.031038002041186,40.00120069640391
02010101,02,01,01,01,6647,4717,3787,1930,1857,2860,100.0,70.96434481721077,56.97307055814653,29.035655182789228,27.937415375357304,43.02692944185347
02010102,02,01,01,02,13433,9128,8978,4305,4673,4455,100.0,67.95205836373111,66.83540534504579,32.04794163626889,34.7874637087769,33.164594654954215
02010103,02,01,01,03,15380,10703,9956,4677,5279,5424,100.0,69.59037711313394,64.7334200260078,30.40962288686606,34.323797139141746,35.266579973992194
02010104,02,01,01,04,5015,3249,3363,1766,1597,1652,100.0,64.78564307078763,67.05882352941175,35.214356929212364,31.8444666001994,32.94117647058823
02020201,02,02,02,01,976,498,678,478,200,298,100.0,51.02459016393443,69.4672131147541,48.97540983606557,20.491803278688526,30.532786885245898
02020202,02,02,02,02,5998,2564,4333,3434,899,1665,100.0,42.747582527509174,72.24074691563854,57.25241747249083,14.988329443147716,27.75925308436145
