id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
092008,09,20,08,100.0,356.0,398.0,90.0,403.0,1513.0,319.0,166.0,117.0,1605.0,2526.0
093009,09,30,09,100.0,926.0,1152.0,310.0,722.0,2269.0,795.0,498.00000000000006,443.0,3554.0,3978.0
093010,09,30,10,100.0,409.99999999999994,401.99999999999994,136.0,574.0,1274.0,363.0,215.0,136.0,1612.0,2267.0
093011,09,30,11,100.0,225.0,177.0,30.0,172.0,710.0,123.0,107.0,99.0,785.0,1087.0
093012,09,30,12,100.0,65.0,81.0,26.0,42.0,169.0,78.0,43.0,68.0,299.0,278.0
094013,09,40,13,100.0,121.0,171.0,51.0,132.0,458.0,147.0,86.0,145.0,648.0,826.0
094014,09,40,14,100.0,262.0,355.0,103.0,264.0,734.0,246.0,166.0,227.0,1206.0,1739.0
094015,09,40,15,100.0,213.0,297.0,93.0,220.00000000000003,710.0,206.0,155.0,90.0,965.0,1434.0
094016,09,40,16,100.0,77.0,108.0,13.0,65.0,219.0,106.0,82.0,64.0,377.0,380.0
095017,09,50,17,100.0,210.0,272.0,98.0,224.00000000000003,703.0,278.0,144.0,200.0,1072.0,1296.0
095018,09,50,18,100.0,175.0,204.0,88.0,152.0,590.0,158.0,89.0,118.0,748.0,1011.9999999999999
095019,09,50,19,100.0,298.0,256.0,64.0,319.0,1244.0,243.00000000000003,137.0,125.0,1345.0,1943.0
095020,09,50,20,100.0,160.0,167.0,57.99999999999999,183.0,654.0,167.0,83.0,152.0,817.0,1039.0
101001,10,10,01,100.0,791.0,1128.0,351.0,846.0000000000001,2504.0,950.0,652.0,675.0,3813.0000000000005,4773.0
101002,10,10,02,100.0,1662.0,2151.0,579.0,1989.0,5207.0,1693.0,1115.0,1161.0,7463.0,10086.0
101003,10,10,03,100.0,1323.0,1612.0,495.0,1388.0,4169.0,1326.0,952.9999999999999,967.0,6061.0,7295.0
102004,10,20,04,100.0,2032.9999999999998,2568.0,679.0,2051.0,5907.0,1762.0,986.0,805.0000000000001,8159.0,12655.0
102005,10,20,05,100.0,1123.0,1131.0,320.0,956.0,2604.0,796.0,421.0,267.0,3647.0,5736.0
102006,10,20,06,100.0,786.0,790.0,215.0,627.0,2029.0,663.0,412.0,505.99999999999994,3052.0,3924.0
103007,10,30,07,100.0,658.0,756.0,213.0,1051.0,2298.0,673.0,463.99999999999994,476.99999999999994,3125.0,3979.0
104008,10,40,08,100.0,227.99999999999997,301.0,86.0,202.99999999999997,659.0,252.0,197.0,222.00000000000003,1120.0,1113.0
104009,10,40,09,100.0,327.0,473.00000000000006,128.0,283.0,952.0,422.0,277.0,295.0,1634.0,1545.0
111001,11,10,01,100.0,242.0,248.0,49.0,235.0,593.0,174.0,78.0,54.0,781.0,1197.0
111002,11,10,02,100.0,1393.0,1680.0,476.0,1215.0,3613.0000000000005,1156.0,756.0,708.0,5358.0,7681.0
111003,11,10,03,100.0,1139.0,1433.0,379.0,1074.0,3052.0,977.0,723.0,595.0,4588.0,6283.0
112004,11,20,04,100.0,666.0,909.0,233.0,652.0,1961.0,531.0,341.0,245.00000000000003,2650.0,4008.0
112005,11,20,05,100.0,1299.0,1499.0,398.0,1225.0,4001.0,1037.0,577.0,511.00000000000006,5232.0,7294.0
113006,11,30,06,100.0,1147.0,1356.0,377.0,2086.0,5078.0,1271.0,877.0,733.0,6248.0,8643.0
113007,11,30,07,100.0,1235.0,1255.0,316.0,2093.0,5838.0,1440.0,826.0,552.0,6108.0,10435.0
