id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
01044203,01,04,42,03,16498,919,1205,354,2303,5819,2025,1655,2218,7718,6561,100.0,5.570372166323191,7.303915626136502,2.1457146320766154,13.959267790035156,35.270941932355434,12.274215056370469,10.031518971996606,13.444053824706026,46.78142805188508,39.76845678264032
02010101,02,01,01,01,6628,401,534,178,1153,2339,826,605,592,2980,2841,100.0,6.050090525045262,8.056729028364513,2.6855763427881714,17.395896197948097,35.28968014484008,12.462281231140615,9.127942063971032,8.931804465902234,44.96077248038624,42.863608931804464
02010102,02,01,01,02,13473,930,1376,452,1737,4030,1843,1333,1772,6640,4508,100.0,6.902694277443776,10.213018629852296,3.3548578638759,12.89245156980628,29.911675202256365,13.679210272396643,9.893861797669414,13.152230386699323,49.28375269056632,33.45951161582424
02010103,02,01,01,03,15349,1104,1587,513,1935,4407,2224,1558,2021,7572,5453,100.0,7.192650987034986,10.339435793862792,3.342237279301583,12.606684474558602,28.71196820639781,14.489543292722654,10.150498403804809,13.166981562316762,49.332204052381265,35.52674441331683
02010104,02,01,01,04,5000,269,541,179,586,1487,738,599,601,2490,1633,100.0,5.38,10.82,3.58,11.72,29.74,14.760000000000002,11.98,12.02,49.8,32.66
02020201,02,02,02,01,1306,149,103,18,80,562,162,123,109,618,328,100.0,11.408882082695254,7.8866768759571215,1.3782542113323124,6.1255742725880555,43.03215926493109,12.404287901990811,9.418070444104135,8.346094946401225,47.32006125574272,25.114854517611025
02020202,02,02,02,02,6003,388,497,138,683,2030,916,706,645,2877,1687,100.0,6.46343494919207,8.279193736465102,2.2988505747126435,11.377644511077795,33.81642512077295,15.259037148092618,11.760786273529902,10.744627686156921,47.92603698150925,28.102615358987173
02020203,02,02,02,03,10999,734,753,172,1062,4201,1622,1316,1139,5381,2650,100.0,6.67333393944904,6.8460769160832795,1.5637785253204837,9.655423220292754,38.19438130739158,14.746795163196655,11.964724065824166,10.35548686244204,48.922629329939085,24.093099372670242
02020204,02,02,02,04,12753,787,804,262,1360,4876,1900,1536,1228,6182,3455,100.0,6.17109699678507,6.304398964949423,2.0544185681800364,10.66415745314828,38.23414098643457,14.898455265427742,12.044224888261585,9.6291068768133,48.4748686583549,27.091664706343604
02020205,02,02,02,05,14843,800,968,328,1580,5134,2451,2017,1565,7356,3572,100.0,5.389746008219363,6.521592669945429,2.2097958633699384,10.644748366233241,34.58869500774776,16.512834332682072,13.588897123223068,10.543690628579128,49.55871454557704,24.065215926699455
02020206,02,02,02,06,19024,1250,1444,387,1876,7246,2775,2163,1883,9464,5218,100.0,6.570647603027754,7.590412111017662,2.0342724978973927,9.861227922624053,38.088730025231285,14.586837678721615,11.369848612279226,9.89802354920101,49.74768713204373,27.42851135407906
02030301,02,03,03,01,9043,466,705,235,1013,3181,1454,992,997,4340,3435,100.0,5.153157138117881,7.7960853698993695,2.59869512329979,11.202034722990158,35.176379520070775,16.078734933097426,10.96981090346124,11.025102289063364,47.99292270264293,37.98518190865863
02030302,02,03,03,02,13115,743,1011,326,1386,4802,1977,1544,1326,6350,4283,100.0,5.665268776210446,7.70873046130385,2.4857033930613803,10.56805184902783,36.614563476934805,15.074342356080825,11.772779260388868,10.110560426991993,48.4178421654594,32.65726267632482
02030401,02,03,04,01,15362,939,1037,302,1555,6268,2307,1617,1337,7413,4904,100.0,6.112485353469601,6.750423121989324,1.9658898580913944,10.122379898450722,40.801978908996226,15.017575836479624,10.525973180575447,8.703293841947662,48.25543549017055,31.92292670225231
02030402,02,03,04,02,11112,654,719,211,1190,4627,1654,1145,912,5316,3664,100.0,5.885529157667387,6.4704823614110865,1.8988480921526278,10.709143268538517,41.63966882649388,14.884809215262779,10.304175665946724,8.207343412526997,47.840172786177106,32.97336213102952
02040501,02,04,05,01,5350,254,376,103,357,1204,669,665,1722,2804,814,100.0,4.747663551401869,7.02803738317757,1.9252336448598129,6.672897196261681,22.50467289719626,12.504672897196262,12.429906542056075,32.18691588785047,52.41121495327102,15.214953271028037
