id,district_id,forecast_area_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
0330,03,30,37099,2215,3894,1125,2887,8388,4761,6100,7729,18758,4994,100.0,5.970511334537319,10.496239790829943,3.032426750047171,7.781880913232163,22.609773848351708,12.833230006199628,16.442491711366884,20.833445645435187,50.562009757675405,13.461279279764954
0340,03,40,94897,5351,8723,2752,8428,27268,13445,12721,16209,49577,13898,100.0,5.638745165811353,9.192071403732466,2.8999863009368054,8.881208046618966,28.734311938206687,14.16799266573232,13.405060223189352,17.080624255772047,52.24295815463081,14.64535232936763
0350,03,50,56963,3293,5059,1558,5119,18174,7618,7225,8917,29029,10662,100.0,5.780945526043221,8.881203588294156,2.735108754805751,8.986535119287959,31.90492073802293,13.373593385179856,12.683671857170445,15.65402103119569,50.96115022031845,18.71741305759879
0360,03,60,107999,5703,8360,2485,10273,40842,16747,11603,11986,54543,26960,100.0,5.280604450041205,7.740812414929768,2.3009472309928793,9.512125112269558,37.81701682422985,15.50662506134316,10.74361799646293,11.098250909730647,50.50324540042037,24.96319410364911
0370,03,70,60948,3294,5339,1779,5692,21667,10765,7599,4813,30561,15011,100.0,5.404607206142941,8.759926494716808,2.9188816696200037,9.339108748441294,35.549977029599,17.662597624204242,12.468005512896239,7.89689571437947,50.14274463477062,24.629192098182056
0410,04,10,19420,1070,1628,565,1992,4992,2459,2618,4096,9900,6202,100.0,5.5097837281153454,8.383110195674561,2.909371781668383,10.257466529351184,25.705458290422246,12.662203913491247,13.480947476828012,21.091658084449023,50.9783728115345,31.936148300720905
0420,04,20,41014,1689,2905,1042,4478,9163,4616,5956,11165,21405,8956,100.0,4.1181060125810705,7.0829472862924865,2.5405958940849467,10.918223045789242,22.341151801823766,11.254693519286098,14.521870580777296,27.222411859365092,52.18949626956649,21.836446091578484
0430,04,30,109411,5505,6756,2231,12128,33942,12802,14711,21336,55961,32671,100.0,5.031486779208672,6.174881867453912,2.03910027328148,11.084808657264809,31.02247488826535,11.700834468197897,13.445631609253184,19.5007814570747,51.147508020217344,29.86080010236631
0440,04,40,54489,2635,4112,1308,4601,12048,6563,8006,15216,29116,11455,100.0,4.835838426104351,7.546477270641781,2.40048450145901,8.443906109489989,22.110884765732532,12.044632861678505,14.692873791040393,27.924902273853437,53.43463818385362,21.022591715759145
0450,04,50,118747,5444,7883,2611,11639,32879,14326,17010,26955,61032,32787,100.0,4.584536872510463,6.63848349853049,2.1987923905446034,9.801510775009053,27.6882784407185,12.06430478243661,14.324572410250363,22.699520829999916,51.39666686316286,27.610802799228612
0510,05,10,112228,6941,10371,3199,11672,29982,12782,15051,22230,57021,32329,100.0,6.184731083152155,9.241009373774816,2.8504473037031755,10.400256620451225,26.715258224329048,11.389314609544856,13.411091706169584,19.807891078875148,50.808176212709846,28.80653669316035
0520,05,20,92027,5204,8659,2784,9047,22304,10687,13373,19969,46990,23586,100.0,5.654862160018256,9.409195127516924,3.025199126343356,9.830810522998686,24.236365414497918,11.612896215241179,14.531604855096875,21.699066578286807,51.061101633216346,25.629434839775282
0530,05,30,32783,2265,3025,904,3635,9418,3841,4230,5465,16600,9372,100.0,6.90906872464387,9.227343440197663,2.75752676692188,11.088063935576367,28.728304304060032,11.716438397950157,12.903029008937558,16.670225421712473,50.636000366043376,28.587987676539672
0540,05,40,20053,967,2109,736,1495,3258,2551,3326,5611,10243,1667,100.0,4.822221114047774,10.517129606542662,3.6702737744975815,7.455243604448213,16.246945594175436,12.721288585249091,16.586046975514883,27.98085074552436,51.07963895676457,8.312970627836235
0610,06,10,76265,3806,5448,1654,7657,20944,9127,11057,16572,40306,15324,100.0,4.990493673375729,7.14351275158985,2.1687536877991214,10.039992132695208,27.462138595686092,11.967481806857668,14.498131515111782,21.729495836884546,52.84993116108306,20.09309644004458
0620,06,20,80429,3968,6448,2062,7522,18051,9473,11852,21053,42419,14882,100.0,4.933543870991806,8.017008790361684,2.563751880540601,9.352348033669447,22.443397282074873,11.778089992415671,14.735978316278956,26.17588183366696,52.74092678014149,18.50327618147683
0630,06,30,84176,3796,7177,2577,7952,17330,10621,13118,21605,44269,14123,100.0,4.509598935563581,8.526183235126402,3.0614426915035167,9.446873218019388,20.58781600456187,12.617610720395362,15.584014445922827,25.66646074890705,52.59099980992207,16.77794145599696
