district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
12,30,12,3,15001,100.0,4760.0,31.7,12111.0,80.7,10241.0,68.3,1870.0,12.5,2890.0,19.3
12,30,12,4,6434,100.0,1578.0,24.5,5670.0,88.1,4856.0,75.5,814.0,12.7,764.0,11.9
12,30,12,5,5166,100.0,983.0,19.0,4730.0,91.6,4183.0,81.0,547.0,10.6,436.0,8.4
12,30,12,6,5160,100.0,884.0,17.1,4846.0,93.9,4276.0,82.9,570.0,11.0,314.0,6.1
12,30,21,7,3065,100.0,1320.0,43.1,2512.0,82.0,1745.0,56.9,767.0,25.0,553.0,18.0
12,30,21,8,14788,100.0,6741.0,45.6,11418.0,77.2,8047.0,54.4,3371.0,22.8,3370.0,22.8
12,30,21,9,11610,100.0,6118.0,52.7,8553.0,73.7,5492.0,47.3,3061.0,26.4,3057.0,26.3
12,30,21,10,10656,100.0,6157.0,57.8,7409.0,69.5,4499.0,42.2,2910.0,27.3,3247.0,30.5
12,30,22,11,3310,100.0,991.0,29.9,2865.0,86.6,2319.0,70.1,546.0,16.5,445.0,13.4
12,30,22,12,5922,100.0,2958.0,49.9,4069.0,68.7,2964.0,50.1,1105.0,18.7,1853.0,31.3
12,30,43,13,6750,100.0,1868.0,27.7,5527.0,81.9,4882.0,72.3,645.0,9.6,1223.0,18.1
12,30,43,14,9665,100.0,1570.0,16.2,8893.0,92.0,8095.0,83.8,798.0,8.3,772.0,8.0
