district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
2,50,8,32,3718,414.0,293.0,64.0,455.0,2025.0,289.0,131.0,47.0,1770.0,2699.0
2,50,8,33,3777,267.0,148.0,21.0,499.0,2369.0,291.0,119.0,63.0,1798.0,2855.0
2,50,8,34,3965,318.0,255.0,43.0,537.0,2300.0,342.0,110.0,60.0,1874.0,2771.0
2,50,8,35,3007,250.0,181.0,32.0,416.0,1732.0,224.0,103.0,69.0,1401.0,2149.0
2,50,8,36,1078,175.0,113.0,26.0,66.0,435.0,149.0,61.0,53.0,541.0,502.0
3,10,1,1,777,80.0,81.0,16.0,89.0,339.0,87.0,49.0,36.0,312.0,500.0
3,10,1,2,874,175.0,82.0,16.0,153.0,311.0,66.0,27.0,44.0,432.0,630.0
3,10,1,3,1656,198.0,253.0,50.0,208.0,558.0,160.0,105.0,124.0,754.0,1215.0
3,20,2,4,127,12.0,18.0,7.0,3.0,40.0,22.0,10.0,15.0,52.0,47.0
3,20,2,5,1393,136.0,177.0,36.0,238.0,423.0,180.0,101.0,102.0,747.0,743.0
3,20,2,6,1242,146.0,149.0,48.0,212.0,423.0,126.0,59.0,79.0,645.0,784.0
3,20,2,7,1922,222.0,316.0,61.0,179.0,673.0,217.0,121.0,133.0,981.0,1086.0
3,20,3,8,672,59.0,94.0,18.0,51.0,207.0,106.0,56.0,81.0,370.0,287.0
3,20,3,9,778,106.0,127.0,30.0,80.0,224.0,108.0,40.0,63.0,362.0,396.0
3,20,3,10,1250,140.0,205.0,64.0,82.0,348.0,149.0,138.0,124.0,648.0,541.0
3,30,4,11,2264,381.0,343.0,56.0,257.0,727.0,209.0,125.0,166.0,1100.0,1335.0
3,30,4,12,485,58.0,60.0,6.0,49.0,155.0,66.0,18.0,73.0,252.0,212.0
3,30,4,13,288,25.0,56.0,10.0,16.0,55.0,38.0,39.0,49.0,155.0,120.0
3,30,5,14,603,84.0,100.0,32.0,49.0,163.0,49.0,56.0,70.0,325.0,258.0
3,30,5,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,30,5,16,1591,178.0,226.0,49.0,246.0,569.0,157.0,69.0,97.0,700.0,1085.0
3,30,5,17,48,13.0,3.0,3.0,0.0,13.0,0.0,16.0,0.0,29.0,17.0
3,40,6,18,999,88.0,168.0,57.0,89.0,249.0,133.0,110.0,105.0,500.0,338.0
3,40,6,19,1998,246.0,257.0,72.0,205.0,690.0,242.0,126.0,160.0,1041.0,989.0
3,40,6,20,652,65.0,109.0,24.0,73.0,194.0,97.0,43.0,47.0,288.0,320.0
3,40,7,21,2316,284.0,343.0,67.0,219.0,914.0,287.0,96.0,106.0,1121.0,1283.0
3,40,7,22,571,61.0,101.0,12.0,56.0,168.0,69.0,16.0,88.0,298.0,264.0
3,40,7,23,1622,189.0,195.0,36.0,165.0,718.0,147.0,97.0,75.0,803.0,946.0
3,40,7,24,1049,182.0,134.0,22.0,71.0,408.0,95.0,64.0,73.0,574.0,584.0
3,40,7,25,1010,132.0,143.0,44.0,98.0,349.0,107.0,43.0,94.0,508.0,552.0
3,40,8,26,1254,150.0,181.0,22.0,168.0,474.0,120.0,50.0,89.0,629.0,862.0
3,40,8,27,2273,238.0,185.0,31.0,250.0,1154.0,204.0,124.0,87.0,1095.0,1499.0
3,40,8,28,1073,117.0,74.0,12.0,113.0,599.0,80.0,22.0,56.0,543.0,738.0
3,40,8,29,970,98.0,131.0,41.0,87.0,388.0,86.0,41.0,98.0,471.0,589.0
3,40,8,30,1467,188.0,164.0,37.0,111.0,624.0,166.0,92.0,85.0,773.0,837.0
3,40,8,31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,50,9,32,710,86.0,90.0,37.0,77.0,265.0,79.0,40.0,36.0,339.0,484.0
3,50,9,33,1302,156.0,152.0,42.0,110.0,527.0,138.0,88.0,89.0,656.0,775.0
3,50,9,34,2608,287.0,240.0,54.0,281.0,1296.0,265.0,110.0,75.0,1235.0,1724.0
3,50,9,35,1628,155.0,185.0,50.0,197.0,740.0,183.0,73.0,45.0,768.0,1101.0
3,50,9,36,2052,247.0,283.0,66.0,238.0,835.0,181.0,109.0,93.0,1041.0,1313.0
3,50,10,37,1656,181.0,119.0,26.0,267.0,728.0,151.0,89.0,95.0,766.0,1127.0
3,50,10,38,992,123.0,144.0,41.0,112.0,317.0,106.0,67.0,82.0,503.0,630.0
3,60,11,39,1323,135.0,110.0,21.0,156.0,672.0,147.0,49.0,33.0,642.0,897.0
3,60,11,40,1805,146.0,142.0,45.0,237.0,938.0,187.0,65.0,45.0,856.0,1211.0
3,60,11,41,2196,206.0,196.0,19.0,259.0,1127.0,205.0,103.0,81.0,1055.0,1490.0
3,60,11,42,3798,317.0,352.0,59.0,405.0,1966.0,444.0,149.0,106.0,1899.0,2607.0
3,60,12,43,2064,179.0,142.0,39.0,202.0,1151.0,238.0,82.0,31.0,1043.0,1334.0
3,60,12,44,2037,150.0,185.0,42.0,207.0,1063.0,243.0,84.0,63.0,1015.0,1342.0
3,60,12,45,3459,304.0,293.0,72.0,368.0,1792.0,321.0,160.0,149.0,1776.0,2305.0
3,60,13,46,1822,155.0,190.0,39.0,184.0,916.0,245.0,69.0,24.0,929.0,1177.0
3,60,13,47,3134,281.0,324.0,78.0,255.0,1517.0,438.0,183.0,58.0,1537.0,2049.0
3,60,13,48,2498,201.0,229.0,44.0,247.0,1295.0,303.0,108.0,71.0,1266.0,1714.0
3,60,14,49,1931,239.0,214.0,52.0,244.0,649.0,210.0,114.0,209.0,1018.0,1165.0
3,60,14,50,1673,233.0,291.0,76.0,261.0,534.0,111.0,77.0,90.0,798.0,1359.0
3,60,14,51,1927,165.0,152.0,29.0,205.0,1044.0,173.0,82.0,77.0,951.0,1355.0
3,60,14,52,1307,105.0,122.0,27.0,163.0,625.0,125.0,88.0,52.0,650.0,888.0
3,60,14,53,817,94.0,152.0,34.0,67.0,325.0,92.0,24.0,29.0,431.0,438.0
3,70,15,54,4314,367.0,416.0,148.0,499.0,2004.0,582.0,206.0,92.0,2153.0,2877.0
3,70,15,55,2352,181.0,235.0,74.0,225.0,1085.0,319.0,127.0,106.0,1217.0,1524.0
3,70,15,56,3395,410.0,357.0,82.0,314.0,1637.0,402.0,120.0,73.0,1691.0,2385.0
3,70,16,57,1040,108.0,135.0,28.0,82.0,493.0,96.0,40.0,58.0,497.0,700.0
3,70,16,58,2793,249.0,278.0,61.0,305.0,1370.0,306.0,148.0,76.0,1448.0,1856.0
3,70,16,59,3125,315.0,333.0,63.0,302.0,1500.0,364.0,137.0,111.0,1569.0,2014.0
3,70,16,60,3635,343.0,428.0,121.0,335.0,1629.0,464.0,187.0,128.0,1844.0,2253.0
4,10,1,1,5725,453.0,592.0,155.0,650.0,1936.0,818.0,574.0,547.0,2729.0,3416.0
4,10,1,2,4401,437.0,620.0,166.0,389.0,1277.0,644.0,480.0,388.0,2257.0,2206.0
4,20,2,3,403,12.0,56.0,18.0,54.0,108.0,74.0,50.0,31.0,188.0,229.0
4,20,2,4,900,85.0,90.0,21.0,76.0,317.0,118.0,81.0,112.0,431.0,583.0
4,20,2,5,829,49.0,80.0,33.0,99.0,257.0,141.0,94.0,76.0,421.0,480.0
4,20,2,6,840,61.0,130.0,43.0,86.0,168.0,132.0,102.0,118.0,423.0,426.0
4,20,2,7,1235,46.0,89.0,21.0,405.0,441.0,101.0,77.0,55.0,572.0,949.0
4,20,3,8,2416,191.0,275.0,91.0,364.0,789.0,300.0,183.0,223.0,1154.0,1610.0
4,20,3,9,1980,136.0,168.0,62.0,238.0,661.0,286.0,189.0,240.0,992.0,1083.0
4,20,3,10,2944,187.0,330.0,105.0,344.0,840.0,463.0,312.0,363.0,1474.0,1726.0
4,20,3,11,2809,199.0,271.0,66.0,380.0,972.0,338.0,255.0,328.0,1419.0,1685.0
