district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
3,50,9,34,10049,764.0,815.0,180.0,838.0,4093.0,1407.0,1001.0,951.0,4889.0,1724.0
3,50,9,35,6407,468.0,619.0,170.0,609.0,2448.0,931.0,655.0,507.0,3124.0,1101.0
3,50,9,36,9819,694.0,1067.0,279.0,808.0,3162.0,1514.0,1068.0,1227.0,5059.0,1313.0
3,50,10,37,8509,499.0,542.0,147.0,748.0,2644.0,1017.0,976.0,1936.0,4346.0,1127.0
3,50,10,38,7324,437.0,592.0,174.0,517.0,1796.0,972.0,1120.0,1716.0,3897.0,630.0
3,60,11,39,3795,257.0,223.0,63.0,380.0,1650.0,534.0,304.0,384.0,1869.0,897.0
3,60,11,40,5884,373.0,461.0,103.0,555.0,2675.0,942.0,435.0,340.0,2845.0,1211.0
3,60,11,41,6576,444.0,506.0,92.0,596.0,2895.0,1028.0,490.0,525.0,3278.0,1490.0
3,60,11,42,10744,702.0,915.0,190.0,961.0,4641.0,1964.0,798.0,573.0,5303.0,2607.0
3,60,12,43,7032,426.0,440.0,108.0,616.0,3118.0,1076.0,623.0,625.0,3556.0,1334.0
3,60,12,44,7600,400.0,509.0,132.0,659.0,3024.0,1302.0,701.0,873.0,3924.0,1342.0
3,60,12,45,12813,675.0,665.0,189.0,1180.0,5286.0,1623.0,1268.0,1927.0,6543.0,2305.0
3,60,13,46,5470,336.0,515.0,139.0,486.0,2102.0,1162.0,478.0,252.0,2705.0,1177.0
3,60,13,47,9548,638.0,922.0,244.0,720.0,3731.0,2083.0,840.0,370.0,4719.0,2049.0
3,60,13,48,7516,476.0,636.0,147.0,613.0,3246.0,1406.0,656.0,336.0,3790.0,1714.0
3,60,14,49,9970,407.0,554.0,160.0,707.0,2098.0,1073.0,1153.0,3818.0,5400.0,1165.0
3,60,14,50,3965,338.0,427.0,111.0,405.0,1021.0,416.0,406.0,841.0,1974.0,1359.0
3,60,14,51,6373,382.0,463.0,94.0,527.0,2788.0,938.0,615.0,566.0,3171.0,1355.0
3,60,14,52,4063,243.0,258.0,68.0,427.0,1621.0,512.0,434.0,500.0,2044.0,888.0
3,60,14,53,2825,275.0,478.0,101.0,154.0,953.0,464.0,165.0,235.0,1416.0,438.0
3,70,15,54,11328,716.0,1054.0,310.0,1057.0,4407.0,2216.0,1046.0,522.0,5547.0,2877.0
3,70,15,55,7274,448.0,630.0,206.0,596.0,2737.0,1411.0,790.0,456.0,3616.0,1524.0
3,70,15,56,8656,723.0,751.0,220.0,658.0,3381.0,1496.0,837.0,590.0,4251.0,2385.0
3,70,16,57,3188,175.0,259.0,67.0,256.0,1006.0,381.0,410.0,634.0,1576.0,700.0
3,70,16,58,8448,565.0,766.0,199.0,760.0,3410.0,1530.0,780.0,438.0,4282.0,1856.0
3,70,16,59,9164,640.0,812.0,226.0,759.0,3495.0,1636.0,800.0,796.0,4602.0,2014.0
3,70,16,60,12823,823.0,1352.0,382.0,981.0,4472.0,2493.0,1320.0,1000.0,6459.0,2253.0
4,10,1,1,11548,600.0,819.0,236.0,1232.0,3068.0,1497.0,1553.0,2543.0,5778.0,3416.0
4,10,1,2,7855,539.0,780.0,213.0,716.0,1869.0,1044.0,1003.0,1691.0,4143.0,2206.0
4,20,2,3,1482,42.0,139.0,42.0,139.0,274.0,226.0,235.0,385.0,741.0,229.0
4,20,2,4,2832,127.0,145.0,34.0,145.0,533.0,268.0,340.0,1240.0,1521.0,583.0
4,20,2,5,2569,101.0,173.0,70.0,214.0,526.0,404.0,407.0,674.0,1341.0,480.0
4,20,2,6,2963,120.0,293.0,115.0,265.0,422.0,457.0,469.0,822.0,1496.0,426.0
4,20,2,7,3192,110.0,270.0,87.0,656.0,682.0,364.0,372.0,651.0,1572.0,949.0
4,20,3,8,6379,319.0,455.0,150.0,663.0,1440.0,770.0,859.0,1723.0,3272.0,1610.0
4,20,3,9,6936,290.0,395.0,157.0,623.0,1524.0,907.0,954.0,2086.0,3635.0,1083.0
4,20,3,10,7809,323.0,557.0,175.0,751.0,1576.0,1071.0,1020.0,2336.0,4104.0,1726.0
4,20,3,11,7218,344.0,406.0,106.0,903.0,2017.0,875.0,1007.0,1560.0,3751.0,1685.0
4,30,4,12,3329,149.0,151.0,46.0,415.0,1081.0,380.0,367.0,740.0,1635.0,1372.0
4,30,4,13,10334,591.0,778.0,288.0,1141.0,2852.0,1472.0,1482.0,1730.0,5329.0,2721.0
4,30,4,14,10786,542.0,700.0,220.0,1058.0,3010.0,1494.0,1559.0,2203.0,5593.0,2460.0
4,30,4,15,6488,274.0,358.0,128.0,626.0,1621.0,802.0,938.0,1741.0,3451.0,1510.0
4,30,4,16,12145,589.0,723.0,256.0,1300.0,3522.0,1670.0,1817.0,2268.0,6169.0,3156.0
4,30,5,17,9637,462.0,504.0,146.0,1142.0,3047.0,1267.0,1481.0,1588.0,4903.0,2713.0
4,30,5,18,5930,302.0,366.0,97.0,670.0,2073.0,736.0,770.0,916.0,2908.0,1666.0
4,30,6,19,8859,408.0,515.0,153.0,859.0,2553.0,1176.0,1229.0,1966.0,4573.0,2385.0
4,30,6,20,3429,148.0,192.0,51.0,475.0,1338.0,410.0,410.0,405.0,1598.0,1278.0
4,30,6,21,10811,565.0,613.0,201.0,1096.0,3159.0,1425.0,1443.0,2309.0,5495.0,3077.0
4,30,6,22,5157,279.0,302.0,90.0,549.0,1731.0,640.0,620.0,946.0,2658.0,1713.0
4,30,6,23,12121,571.0,682.0,223.0,1419.0,3777.0,1644.0,1648.0,2157.0,5933.0,4299.0
4,30,6,24,9538,404.0,444.0,158.0,1027.0,2738.0,1341.0,1438.0,1988.0,4786.0,2849.0
4,40,7,25,110,0.0,0.0,0.0,19.0,45.0,24.0,13.0,9.0,39.0,61.0
4,40,7,26,5470,282.0,459.0,154.0,415.0,1152.0,762.0,691.0,1555.0,2832.0,1285.0
4,40,7,27,8264,385.0,528.0,140.0,769.0,2036.0,1136.0,1205.0,2065.0,4388.0,1809.0
4,40,7,28,3173,159.0,235.0,90.0,204.0,532.0,442.0,471.0,1040.0,1697.0,617.0
4,40,7,29,2796,150.0,214.0,89.0,178.0,450.0,377.0,413.0,925.0,1469.0,555.0
4,40,8,30,7119,423.0,584.0,163.0,604.0,1674.0,909.0,879.0,1883.0,3772.0,1511.0
4,40,8,31,1513,50.0,120.0,36.0,126.0,178.0,225.0,207.0,571.0,819.0,221.0
4,40,8,32,7023,299.0,461.0,160.0,553.0,1320.0,1008.0,1088.0,2134.0,3828.0,1040.0
4,40,8,33,4178,177.0,239.0,63.0,263.0,828.0,477.0,660.0,1471.0,2230.0,850.0
4,40,8,34,3574,169.0,233.0,60.0,303.0,790.0,501.0,540.0,978.0,1910.0,590.0
4,40,8,35,10593,497.0,689.0,245.0,938.0,2269.0,1542.0,1622.0,2791.0,5716.0,1719.0
4,50,9,36,5638,261.0,334.0,111.0,541.0,1423.0,829.0,809.0,1330.0,2906.0,1532.0
4,50,9,37,7683,310.0,408.0,135.0,690.0,2015.0,1094.0,1175.0,1856.0,3938.0,1927.0
4,50,9,38,7919,419.0,458.0,149.0,704.0,2178.0,1022.0,1045.0,1944.0,4029.0,2135.0
