district,forecast_area,district_region,planning_area,inhabitants,inhabitants_percentage,inhabitants_with_migration_background,inhabitants_with_migration_background_percentage,inhabitants_germans,inhabitants_germans_percentage,inhabitants_germans_without_migration_background,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners,inhabitants_foreigners_percentage
1,20,6,26,5935,100.0,2546.0,42.9,4408.0,74.3,3389.0,57.1,1019.0,17.2,1527.0,25.7
1,20,6,27,3280,100.0,2125.0,64.8,2190.0,66.8,1155.0,35.2,1035.0,31.6,1090.0,33.2
1,20,6,28,3132,100.0,1328.0,42.4,2419.0,77.2,1804.0,57.6,615.0,19.6,713.0,22.8
1,20,6,29,5807,100.0,2781.0,47.9,3829.0,65.9,3026.0,52.1,803.0,13.8,1978.0,34.1
1,30,7,30,7957,100.0,5687.0,71.5,4241.0,53.3,2270.0,28.5,1971.0,24.8,3716.0,46.7
1,30,7,31,8545,100.0,4979.0,58.3,5317.0,62.2,3566.0,41.7,1751.0,20.5,3228.0,37.8
1,30,7,32,9879,100.0,6149.0,62.2,5978.0,60.5,3730.0,37.8,2248.0,22.8,3901.0,39.5
1,30,7,33,11665,100.0,7224.0,61.9,7246.0,62.1,4441.0,38.1,2805.0,24.0,4419.0,37.9
1,30,8,34,14193,100.0,9418.0,66.4,9890.0,69.7,4775.0,33.6,5115.0,36.0,4303.0,30.3
1,30,8,35,10443,100.0,6224.0,59.6,7287.0,69.8,4219.0,40.4,3068.0,29.4,3156.0,30.2
1,30,8,36,14657,100.0,9466.0,64.6,8805.0,60.1,5191.0,35.4,3614.0,24.7,5852.0,39.9
1,40,9,37,10804,100.0,5212.0,48.2,7673.0,71.0,5592.0,51.8,2081.0,19.3,3131.0,29.0
1,40,9,38,9725,100.0,5121.0,52.7,6394.0,65.7,4604.0,47.3,1790.0,18.4,3331.0,34.3
1,40,9,39,5926,100.0,3076.0,51.9,3783.0,63.8,2850.0,48.1,933.0,15.7,2143.0,36.2
1,40,9,40,6794,100.0,2403.0,35.4,5701.0,83.9,4391.0,64.6,1310.0,19.3,1093.0,16.1
1,40,9,41,3786,100.0,1681.0,44.4,2856.0,75.4,2105.0,55.6,751.0,19.8,930.0,24.6
