district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
1,30,7,32,6149,1574.0,79.0,249.0,120.0,36.0,53.0,341.0,378.0,87.0,58.0,64.0,522.0,145.0,168,258.0,101.0,44.0,30.0,2915.0,1474.0,27.0,933.0,245.0,237.0,22.0,66.0,366.0
1,30,7,33,7224,1680.0,95.0,141.0,144.0,54.0,59.0,386.0,338.0,163.0,99.0,108.0,584.0,139.0,186,331.0,123.0,74.0,29.0,3492.0,2173.0,27.0,932.0,236.0,194.0,37.0,69.0,574.0
1,30,8,34,9418,1307.0,98.0,57.0,152.0,50.0,88.0,396.0,84.0,69.0,79.0,83.0,421.0,100.0,74,653.0,252.0,141.0,118.0,5510.0,3325.0,49.0,1630.0,643.0,300.0,43.0,92.0,930.0
1,30,8,35,6224,1189.0,66.0,62.0,114.0,48.0,59.0,417.0,140.0,51.0,80.0,44.0,372.0,46.0,133,512.0,226.0,113.0,50.0,3020.0,1864.0,34.0,800.0,232.0,150.0,43.0,75.0,625.0
1,30,8,36,9466,2178.0,139.0,114.0,213.0,69.0,107.0,573.0,328.0,194.0,111.0,116.0,755.0,224.0,207,543.0,273.0,88.0,61.0,4400.0,2264.0,44.0,1618.0,518.0,373.0,63.0,146.0,700.0
1,40,9,37,5212,1543.0,88.0,79.0,141.0,27.0,49.0,530.0,282.0,89.0,80.0,62.0,346.0,60.0,102,260.0,126.0,40.0,16.0,2122.0,1163.0,34.0,597.0,60.0,145.0,25.0,55.0,419.0
1,40,9,38,5121,1628.0,121.0,102.0,210.0,54.0,74.0,311.0,333.0,70.0,126.0,101.0,542.0,150.0,138,263.0,94.0,44.0,21.0,1934.0,961.0,64.0,598.0,153.0,114.0,44.0,73.0,273.0
1,40,9,39,3076,1007.0,69.0,58.0,81.0,18.0,33.0,302.0,198.0,56.0,37.0,43.0,240.0,45.0,45,180.0,76.0,25.0,10.0,1164.0,477.0,15.0,400.0,87.0,113.0,19.0,24.0,148.0
1,40,9,40,2403,597.0,36.0,22.0,40.0,16.0,13.0,305.0,54.0,27.0,38.0,25.0,219.0,64.0,48,97.0,44.0,23.0,3.0,1020.0,602.0,27.0,302.0,41.0,46.0,16.0,9.0,307.0
1,40,9,41,1681,430.0,48.0,27.0,46.0,12.0,28.0,109.0,65.0,16.0,23.0,17.0,143.0,19.0,33,81.0,29.0,18.0,6.0,732.0,395.0,15.0,235.0,60.0,77.0,12.0,13.0,150.0
1,40,9,42,4643,1448.0,136.0,88.0,169.0,46.0,65.0,278.0,307.0,112.0,53.0,79.0,249.0,54.0,74,273.0,125.0,34.0,23.0,1774.0,776.0,48.0,673.0,116.0,242.0,44.0,72.0,197.0
1,40,10,43,5177,1152.0,52.0,70.0,118.0,37.0,39.0,248.0,320.0,83.0,81.0,63.0,435.0,147.0,112,180.0,65.0,37.0,12.0,2567.0,1563.0,18.0,721.0,285.0,123.0,22.0,42.0,453.0
1,40,10,44,6893,1899.0,101.0,118.0,160.0,79.0,68.0,392.0,406.0,254.0,64.0,77.0,535.0,187.0,179,338.0,132.0,52.0,25.0,2999.0,1573.0,33.0,1081.0,305.0,187.0,42.0,85.0,453.0
1,40,10,45,4174,975.0,66.0,97.0,103.0,21.0,70.0,186.0,196.0,89.0,15.0,54.0,184.0,73.0,56,216.0,98.0,43.0,18.0,2168.0,1122.0,25.0,734.0,198.0,157.0,21.0,62.0,263.0
1,40,10,46,4327,1382.0,124.0,55.0,125.0,66.0,75.0,343.0,211.0,138.0,54.0,94.0,237.0,25.0,92,203.0,71.0,56.0,11.0,1643.0,647.0,38.0,669.0,179.0,113.0,42.0,90.0,210.0
1,40,10,47,5469,1375.0,72.0,101.0,95.0,55.0,93.0,314.0,326.0,81.0,29.0,61.0,284.0,62.0,102,229.0,85.0,42.0,28.0,2139.0,840.0,45.0,843.0,204.0,201.0,51.0,79.0,268.0
1,40,10,48,5365,1513.0,145.0,152.0,126.0,50.0,79.0,336.0,318.0,52.0,56.0,82.0,396.0,91.0,141,219.0,99.0,40.0,19.0,2277.0,1333.0,44.0,643.0,166.0,121.0,57.0,85.0,292.0
1,40,10,49,4094,1266.0,46.0,97.0,76.0,28.0,51.0,233.0,332.0,211.0,41.0,39.0,212.0,64.0,72,176.0,50.0,41.0,9.0,1853.0,1121.0,44.0,503.0,133.0,143.0,28.0,55.0,228.0
2,10,1,1,4366,930.0,62.0,52.0,104.0,42.0,52.0,217.0,128.0,65.0,49.0,75.0,171.0,42.0,47,434.0,211.0,76.0,36.0,1853.0,830.0,71.0,764.0,219.0,148.0,45.0,51.0,344.0
2,10,1,2,6148,972.0,78.0,80.0,122.0,39.0,54.0,161.0,115.0,58.0,65.0,68.0,279.0,88.0,74,481.0,176.0,115.0,7.0,3226.0,1557.0,63.0,1421.0,525.0,224.0,26.0,70.0,722.0
2,10,1,3,3410,613.0,51.0,49.0,63.0,31.0,34.0,136.0,81.0,31.0,33.0,31.0,79.0,18.0,9,206.0,65.0,19.0,26.0,1860.0,1173.0,15.0,538.0,157.0,140.0,13.0,54.0,409.0
2,10,1,4,3859,493.0,37.0,21.0,77.0,28.0,16.0,108.0,73.0,16.0,19.0,25.0,67.0,3.0,12,95.0,30.0,13.0,3.0,2502.0,1939.0,34.0,384.0,54.0,125.0,55.0,13.0,458.0
2,10,1,5,6843,857.0,68.0,68.0,99.0,34.0,73.0,202.0,130.0,15.0,29.0,51.0,209.0,68.0,64,208.0,69.0,68.0,16.0,4196.0,3307.0,43.0,670.0,203.0,122.0,47.0,49.0,878.0
2,10,1,6,3273,415.0,43.0,53.0,62.0,21.0,39.0,48.0,74.0,15.0,3.0,45.0,55.0,42.0,7,28.0,15.0,3.0,0.0,2054.0,1425.0,20.0,534.0,212.0,82.0,3.0,52.0,419.0
2,20,2,7,829,267.0,47.0,6.0,30.0,17.0,16.0,32.0,9.0,15.0,10.0,31.0,29.0,0.0,10,74.0,37.0,24.0,3.0,144.0,46.0,22.0,54.0,0.0,6.0,6.0,31.0,31.0
2,20,2,8,2663,864.0,117.0,49.0,139.0,52.0,62.0,124.0,60.0,34.0,59.0,107.0,155.0,35.0,40,124.0,54.0,16.0,13.0,829.0,377.0,21.0,351.0,75.0,104.0,9.0,102.0,158.0
2,20,2,9,4456,1604.0,195.0,107.0,342.0,82.0,139.0,233.0,77.0,57.0,78.0,192.0,223.0,46.0,65,149.0,68.0,23.0,9.0,1168.0,597.0,28.0,396.0,87.0,105.0,15.0,226.0,214.0
2,20,2,10,5420,1899.0,258.0,111.0,281.0,85.0,181.0,331.0,78.0,90.0,107.0,200.0,312.0,46.0,125,211.0,81.0,43.0,19.0,1566.0,861.0,77.0,508.0,131.0,96.0,35.0,246.0,301.0
2,20,2,11,6176,2042.0,323.0,139.0,279.0,175.0,187.0,244.0,56.0,76.0,108.0,262.0,278.0,63.0,48,195.0,86.0,33.0,9.0,1886.0,1260.0,75.0,421.0,90.0,118.0,19.0,284.0,414.0
2,20,2,12,4332,1221.0,167.0,84.0,204.0,91.0,98.0,182.0,48.0,58.0,46.0,138.0,218.0,51.0,68,134.0,41.0,24.0,4.0,1759.0,929.0,28.0,698.0,383.0,51.0,13.0,145.0,318.0
2,20,2,13,4687,1748.0,269.0,70.0,269.0,92.0,126.0,204.0,219.0,38.0,66.0,234.0,187.0,31.0,48,141.0,62.0,15.0,9.0,1315.0,903.0,37.0,319.0,91.0,65.0,15.0,243.0,218.0
2,30,3,14,4625,731.0,125.0,50.0,102.0,44.0,56.0,71.0,51.0,47.0,15.0,106.0,91.0,35.0,25,76.0,25.0,12.0,0.0,2709.0,2380.0,29.0,215.0,32.0,74.0,6.0,111.0,472.0
2,30,3,15,5039,1063.0,141.0,55.0,165.0,109.0,100.0,106.0,92.0,33.0,37.0,105.0,133.0,29.0,49,105.0,32.0,18.0,6.0,2604.0,2079.0,30.0,362.0,81.0,71.0,19.0,140.0,481.0
2,30,3,16,2081,528.0,99.0,33.0,83.0,18.0,49.0,57.0,38.0,12.0,9.0,65.0,66.0,24.0,16,50.0,7.0,16.0,9.0,913.0,733.0,12.0,118.0,29.0,23.0,3.0,54.0,171.0
2,30,4,17,4646,1194.0,151.0,67.0,237.0,58.0,118.0,121.0,97.0,53.0,20.0,146.0,145.0,55.0,44,77.0,17.0,6.0,12.0,2028.0,1519.0,25.0,409.0,112.0,68.0,3.0,195.0,358.0
2,30,4,18,3702,1141.0,114.0,69.0,226.0,83.0,151.0,128.0,36.0,31.0,35.0,175.0,124.0,18.0,33,110.0,44.0,18.0,15.0,1327.0,903.0,29.0,291.0,89.0,48.0,3.0,134.0,246.0
2,30,4,19,5590,1684.0,306.0,84.0,283.0,83.0,201.0,203.0,92.0,31.0,44.0,230.0,163.0,25.0,62,170.0,58.0,34.0,13.0,2086.0,1707.0,34.0,186.0,45.0,52.0,13.0,214.0,416.0
2,40,5,20,1726,458.0,31.0,9.0,50.0,16.0,29.0,103.0,64.0,27.0,12.0,23.0,60.0,0.0,21,262.0,134.0,37.0,25.0,420.0,77.0,17.0,212.0,10.0,99.0,267.0,36.0,58.0
2,40,5,21,2670,870.0,86.0,27.0,106.0,61.0,69.0,143.0,68.0,52.0,23.0,55.0,127.0,25.0,46,339.0,117.0,71.0,30.0,420.0,68.0,29.0,185.0,4.0,80.0,309.0,59.0,90.0
2,40,5,22,3329,1304.0,171.0,55.0,191.0,72.0,127.0,223.0,50.0,43.0,47.0,129.0,159.0,46.0,31,317.0,137.0,57.0,42.0,477.0,105.0,22.0,204.0,12.0,75.0,249.0,111.0,81.0
2,40,6,23,6080,1316.0,80.0,34.0,149.0,36.0,98.0,290.0,191.0,62.0,21.0,88.0,388.0,62.0,106,781.0,330.0,141.0,73.0,1731.0,378.0,85.0,793.0,63.0,273.0,695.0,89.0,257.0
2,40,6,24,3783,1530.0,205.0,44.0,258.0,67.0,190.0,192.0,78.0,48.0,36.0,180.0,127.0,16.0,44,331.0,151.0,61.0,40.0,564.0,161.0,40.0,206.0,9.0,66.0,94.0,185.0,46.0
2,40,6,25,782,421.0,10.0,9.0,32.0,9.0,26.0,31.0,9.0,248.0,7.0,22.0,19.0,0.0,6,98.0,45.0,16.0,3.0,113.0,41.0,12.0,35.0,3.0,3.0,14.0,18.0,6.0
2,50,7,26,3266,1280.0,169.0,53.0,242.0,74.0,134.0,191.0,57.0,45.0,27.0,127.0,158.0,50.0,35,273.0,97.0,40.0,42.0,516.0,85.0,24.0,208.0,12.0,94.0,172.0,130.0,88.0
2,50,7,27,2422,1092.0,162.0,19.0,203.0,64.0,114.0,142.0,30.0,59.0,21.0,116.0,81.0,23.0,21,261.0,86.0,59.0,28.0,334.0,65.0,13.0,129.0,6.0,40.0,107.0,107.0,37.0
2,50,7,28,3338,1462.0,184.0,51.0,261.0,84.0,185.0,214.0,57.0,52.0,22.0,161.0,104.0,16.0,29,301.0,127.0,69.0,40.0,469.0,109.0,18.0,215.0,9.0,78.0,50.0,183.0,62.0
2,50,7,29,1815,754.0,107.0,30.0,124.0,43.0,67.0,115.0,38.0,43.0,25.0,43.0,94.0,35.0,27,152.0,61.0,30.0,16.0,246.0,45.0,17.0,125.0,13.0,40.0,113.0,84.0,41.0
2,50,8,30,1509,627.0,109.0,24.0,122.0,46.0,82.0,72.0,19.0,15.0,15.0,65.0,61.0,9.0,18,125.0,78.0,14.0,12.0,166.0,56.0,6.0,73.0,6.0,18.0,35.0,85.0,30.0
2,50,8,31,2975,1142.0,192.0,27.0,212.0,49.0,110.0,156.0,45.0,37.0,17.0,92.0,161.0,70.0,25,222.0,73.0,21.0,36.0,488.0,63.0,15.0,255.0,3.0,124.0,169.0,132.0,74.0
2,50,8,32,3718,1442.0,145.0,43.0,215.0,86.0,150.0,182.0,131.0,90.0,18.0,133.0,159.0,34.0,83,291.0,130.0,64.0,32.0,725.0,104.0,18.0,461.0,6.0,213.0,244.0,154.0,111.0
2,50,8,33,3777,1724.0,321.0,46.0,280.0,111.0,198.0,205.0,38.0,67.0,19.0,221.0,116.0,23.0,33,232.0,97.0,24.0,23.0,441.0,115.0,21.0,202.0,6.0,90.0,65.0,248.0,68.0
2,50,8,34,3965,1757.0,262.0,106.0,305.0,97.0,178.0,195.0,62.0,62.0,25.0,254.0,87.0,25.0,22,255.0,103.0,43.0,22.0,516.0,139.0,26.0,232.0,12.0,79.0,47.0,199.0,100.0
2,50,8,35,3007,1297.0,162.0,70.0,210.0,67.0,108.0,191.0,36.0,131.0,21.0,135.0,96.0,12.0,30,295.0,131.0,68.0,19.0,480.0,167.0,15.0,199.0,20.0,73.0,82.0,109.0,40.0
