id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
01022207,5730,2625,3855,3105,750,1875,5730,223,243,86,1007,1512,759,646,1254,2761,1875,2625,144,135,47,745,881,278,180,215,1226,1875,2625,1027,113,46,92,47,125,57,173,58,43,37,149,10,59,310,140,60,13,440,158,38,136,26,49,37,76,85
01033101,26876,16880,15768,9996,5772,11108,26876,1981,2546,756,4044,9101,3340,2395,2713,12746,11108,16880,1601,2186,635,2454,5563,2130,1237,1074,7924,11108,16880,5034,198,541,324,132,165,149,1112,1213,516,166,1383,368,516,813,339,108,73,7707,4257,71,2342,605,523,58,139,1028
01033102,12119,7463,7402,4656,2746,4717,12119,816,1031,338,1968,4145,1591,1005,1225,5821,4717,7463,621,885,276,1217,2427,1006,505,526,3543,4717,7463,2015,137,124,176,68,63,96,442,399,170,88,574,138,209,302,131,63,25,3622,2331,49,906,250,172,48,65,534
01033201,13826,9243,9565,4583,4982,4261,13826,1114,1573,482,1721,4207,1709,1325,1695,6860,4261,9243,932,1423,406,1050,2818,1156,708,750,4542,4261,9243,1423,112,58,143,44,87,68,458,91,60,62,414,98,104,619,239,112,120,5587,3446,49,1604,698,246,39,66,827
01033202,9735,5509,7114,4226,2888,2621,9735,648,904,253,1021,2775,1243,1125,1766,4902,2621,5509,532,774,189,578,1741,692,489,514,2726,2621,5509,1120,55,36,93,36,54,36,415,82,57,90,361,37,134,448,182,109,43,2757,1806,21,624,163,124,34,61,600
01033203,14513,9323,8627,5190,3437,5886,14513,990,1278,445,2294,4969,1807,1260,1470,6701,5886,9323,797,1148,377,1428,3130,1175,660,608,4277,5886,9323,2519,161,114,231,46,132,94,631,354,251,136,774,219,214,525,253,69,51,4428,2357,36,1636,569,345,42,113,542
01044101,20775,10046,14376,10729,3647,6399,20775,1142,1353,384,2871,6708,2771,2451,3095,10031,6399,10046,788,1003,258,1331,3644,1367,910,745,4642,6399,10046,3432,243,187,348,76,94,128,1006,543,171,219,876,205,240,519,206,90,41,3837,2172,81,1080,237,230,78,125,623
01044102,16564,6643,12608,9921,2687,3956,16564,956,983,310,1797,4728,2072,2025,3693,8528,3956,6643,631,649,173,792,2433,829,600,536,3175,3956,6643,2159,139,104,187,48,60,68,840,287,60,117,620,126,159,360,153,69,22,2594,1426,58,775,137,180,59,60,498
01044103,8715,4615,5505,4100,1405,3210,8715,494,531,198,1331,3338,1127,908,788,4108,3210,4615,350,440,168,714,1719,615,341,268,2170,3210,4615,1577,129,89,138,49,67,50,287,333,149,68,231,39,49,263,116,57,18,1799,829,34,645,99,227,31,80,216
01044201,24168,16510,13542,7658,5884,10626,24168,1535,2116,693,3913,8360,3036,2091,2424,11266,10626,16510,1282,1935,603,2398,5542,2282,1306,1162,7643,10626,16510,4609,250,310,354,158,165,158,986,975,472,161,1211,405,393,730,295,121,44,7810,4478,57,2430,738,439,94,161,1160
