id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
023003,02,30,03,20224,11592,13291,8632,4659,6933,100.0,57.31803797468354,65.71894778481013,42.68196202531646,23.03698575949367,34.281052215189874
023004,02,30,04,26601,13897,17841,12704,5137,8760,100.0,52.24239690237209,67.06890718394045,47.75760309762791,19.311304086312546,32.93109281605955
024005,02,40,05,25241,8871,19680,16370,3310,5561,100.0,35.145200269402956,77.9683847708094,64.85479973059705,13.113585040212353,22.031615229190603
024006,02,40,06,26512,11968,18107,14544,3563,8405,100.0,45.14182257091128,68.2973747736874,54.85817742908872,13.439197344598671,31.702625226312612
025007,02,50,07,31519,11681,23432,19838,3594,8087,100.0,37.06018591960405,74.34246010342967,62.93981408039595,11.402646023033727,25.657539896570324
025008,02,50,08,56184,22178,40560,34006,6554,15624,100.0,39.47387156485832,72.19137120888509,60.52612843514168,11.665242773743415,27.80862879111491
031001,03,10,01,17278,4075,14240,13203,1037,3038,100.0,23.58490566037736,82.41694640583401,76.41509433962264,6.001852066211367,17.583053594165992
032002,03,20,02,28953,5443,25677,23510,2167,3276,100.0,18.79943356474286,88.68511035125893,81.20056643525714,7.484543916001796,11.314889648741062
032003,03,20,03,18706,3152,17147,15554,1593,1559,100.0,16.850208489254783,91.66577568694537,83.14979151074522,8.515984176200151,8.334224313054635
033004,03,30,04,19997,3567,17923,16430,1493,2074,100.0,17.837675651347702,89.62844426663999,82.16232434865229,7.466119917987698,10.371555733360003
033005,03,30,05,16407,2892,14467,13515,952,1940,100.0,17.626622782958492,88.1757786310721,82.37337721704151,5.802401414030597,11.824221368927896
034006,03,40,06,18862,4032,16911,14830,2081,1951,100.0,21.376312162018873,89.65645212596756,78.62368783798112,11.032764287986428,10.343547874032447
034007,03,40,07,37495,7386,33270,30109,3161,4225,100.0,19.698626483531136,88.7318309107881,80.30137351646887,8.430457394319243,11.268169089211895
034008,03,40,08,36552,8367,30953,28185,2768,5599,100.0,22.890676296782665,84.68209673889253,77.10932370321734,7.572773035675202,15.317903261107462
035009,03,50,09,40625,10325,33486,30300,3186,7139,100.0,25.415384615384617,82.42707692307692,74.58461538461538,7.842461538461539,17.57292307692308
035010,03,50,10,16001,3229,13763,12772,991,2238,100.0,20.17998875070308,86.01337416411474,79.82001124929693,6.193362914817824,13.986625835885258
036011,03,60,11,27368,9838,20573,17530,3043,6795,100.0,35.94709149371529,75.17173341128324,64.05290850628471,11.118824904998538,24.828266588716748
036012,03,60,12,27552,8179,22102,19373,2729,5450,100.0,29.685685249709643,80.21922183507549,70.31431475029036,9.904907084785133,19.780778164924506
036013,03,60,13,22933,8123,17545,14810,2735,5388,100.0,35.42057297344438,76.50547246326255,64.5794270265556,11.926045436706929,23.494527536737454
036014,03,60,14,28106,9000,21777,19106,2671,6329,100.0,32.02163239166014,77.48167651035367,67.97836760833985,9.503308902013805,22.51832348964634
037015,03,70,15,27566,10669,20459,16897,3562,7107,100.0,38.703475295654066,74.21823986069796,61.296524704345934,12.921715156352029,25.78176013930204
037016,03,70,16,33848,11295,26470,22553,3917,7378,100.0,33.369770739777834,78.20255258804065,66.63022926022218,11.572323327818482,21.797447411959347
041001,04,10,01,19206,10298,13433,8908,4525,5773,100.0,53.61866083515569,69.9416848901385,46.38133916484432,23.56034572529418,30.0583151098615
042002,04,20,02,12918,4290,10245,8628,1617,2673,100.0,33.20947515095216,79.3079424059452,66.79052484904784,12.517417556897353,20.69205759405481
042003,04,20,03,27875,9961,22157,17914,4243,5718,100.0,35.734529147982066,79.48699551569507,64.26547085201794,15.22152466367713,20.513004484304933
043004,04,30,04,42957,18808,31915,24149,7766,11042,100.0,43.78331820192285,74.29522545801616,56.21668179807715,18.078543659939008,25.704774541983845
043005,04,30,05,15297,7281,10978,8016,2962,4319,100.0,47.59756815061777,71.76570569392692,52.40243184938224,19.363273844544683,28.23429430607309
043006,04,30,06,49591,25554,34132,24037,10095,15459,100.0,51.52951140327882,68.82700490008268,48.470488596721175,20.356516303361495,31.172995099917323
044007,04,40,07,19938,8363,15310,11575,3735,4628,100.0,41.945029591734375,76.78804293309258,58.054970408265625,18.733072524826962,23.211957066907413
044008,04,40,08,33869,11196,27906,22673,5233,5963,100.0,33.05677758422156,82.39392955209779,66.94322241577844,15.450707136319346,17.606070447902212
