id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
030101,03,01,01,100.0,827.9999999999999,22.0,26.0,33.0,31.0,22.0,362.0,87.0,48.0,16.0,19.0,155.0,28.000000000000004,57.99999999999999,638.0,279.0,90.0,61.0,1474.0,139.0,62.0,645.0,26.0,238.0,213.0,45.0,30.0
030202,03,02,02,100.0,1729.0,113.99999999999999,96.0,148.0,101.0,45.0,547.0,131.0,179.0,51.0,84.0,217.0,60.0,39.0,616.0,258.0,94.0,56.00000000000001,1016.0,252.0,61.0,411.00000000000006,43.0,151.0,67.0,220.00000000000003,90.0
030203,03,02,03,100.0,868.0,36.0,40.0,43.0,35.0,31.0,382.0,77.0,39.0,22.0,25.0,96.0,14.000000000000002,26.0,675.0,307.0,63.0,150.0,699.0,115.99999999999999,23.0,279.0,24.0,128.0,31.0,30.0,93.0
030304,03,03,04,100.0,859.0,31.0,27.0,34.0,56.00000000000001,30.0,350.0,67.0,47.0,28.000000000000004,16.0,122.0,9.0,38.0,709.0,322.0,75.0,158.0,984.0,68.0,50.0,442.0,16.0,250.0,69.0,27.0,40.0
030307,03,03,07,100.0,565.0,41.0,18.0,32.0,40.0,19.0,202.99999999999997,62.0,24.0,0.0,32.0,119.0,33.0,47.0,287.0,87.0,48.0,32.0,884.0,104.0,15.0,426.0,30.0,130.0,70.0,16.0,72.0
030405,03,04,05,100.0,1187.0,105.0,39.0,56.00000000000001,59.0,38.0,441.0,93.0,46.0,43.0,79.0,146.0,22.0,52.0,471.0,144.0,76.0,115.99999999999999,1089.0,475.0,35.0,279.0,34.0,86.0,43.0,48.0,224.00000000000003
030406,03,04,06,100.0,2445.0,194.0,54.0,271.0,145.0,149.0,634.0,158.0,134.0,84.0,202.0,305.0,44.0,84.0,836.9999999999999,363.0,181.0,66.0,1190.0,233.0,100.0,494.00000000000006,61.0,199.0,113.99999999999999,224.00000000000003,158.0
030408,03,04,08,100.0,2549.0,204.0,80.0,315.0,151.0,155.0,650.0,160.0,137.0,69.0,150.0,287.0,53.0,50.0,986.9999999999999,367.0,196.0,74.0,1319.0,136.0,76.0,605.0,48.0,163.0,126.0,184.0,103.0
030509,03,05,09,100.0,3221.0,266.0,110.00000000000001,438.99999999999994,151.0,196.0,749.0,274.0,238.0,125.0,209.0,426.99999999999994,88.0,136.0,1060.0,447.0,178.0,109.00000000000001,1435.0,229.0,75.0,628.0,27.0,307.0,258.0,184.0,155.0
030510,03,05,10,100.0,780.0,25.0,49.0,69.0,33.0,35.0,273.0,54.0,77.0,15.0,36.0,128.0,38.0,25.0,467.0,244.0,73.0,47.0,660.0,65.0,19.0,374.0,3.0,206.99999999999997,141.0,28.000000000000004,68.0
030611,03,06,11,100.0,3927.0000000000005,579.0,117.0,627.0,308.0,355.0,508.0,154.0,194.0,83.0,482.0,269.0,40.0,61.0,824.0,377.0,132.0,48.0,1084.0,220.00000000000003,95.0,501.99999999999994,59.0,172.0,80.0,583.0,142.0
030612,03,06,12,100.0,2985.0,301.0,135.0,554.0,204.99999999999997,292.0,459.99999999999994,146.0,132.0,44.0,347.0,190.0,25.0,65.0,735.0,335.0,106.0,82.0,1014.0,206.99999999999997,70.0,416.0,33.0,122.0,287.0,306.0,121.0
030613,03,06,13,100.0,3242.0,463.99999999999994,120.0,587.0,305.0,354.0,361.0,77.0,119.0,77.0,430.0,190.0,18.0,49.0,579.0,290.0,83.0,38.0,750.0,161.0,66.0,323.0,13.0,136.0,69.0,570.0,144.0
030614,03,06,14,100.0,2380.0,168.0,76.0,336.0,85.0,188.0,507.0,210.0,164.0,51.0,178.0,340.0,63.0,126.0,874.0,339.0,213.0,59.0,1804.0,242.0,82.0,874.0,42.0,444.00000000000006,552.0,220.00000000000003,130.0
030715,03,07,15,100.0,4027.0000000000005,550.0,195.0,676.0,326.0,379.0,372.0,121.0,137.0,71.0,543.0,229.0,40.0,44.0,923.0,407.0,184.0,52.0,1019.9999999999999,225.99999999999997,92.0,401.0,31.0,88.0,123.0,977.0,138.0
030716,03,07,16,100.0,4248.0,666.0,180.0,589.0,321.0,378.0,590.0,174.0,164.0,59.0,534.0,223.0,44.0,61.0,997.0000000000001,466.0,195.0,75.0,1264.0,306.0,82.0,532.0,38.0,197.0,307.0,734.0,177.0
040101,04,01,01,100.0,2950.0,59.0,83.0,131.0,40.0,67.0,1676.0000000000002,295.0,193.0,114.99999999999999,48.0,810.0,100.0,283.0,1175.0,446.0,256.0,153.0,3996.0,1650.0,302.0,1448.0,296.0,413.0,140.0,52.0,621.0
040202,04,02,02,100.0,1523.0,112.99999999999999,64.0,145.0,105.0,95.0,400.0,109.00000000000001,74.0,41.0,184.0,154.0,37.0,43.0,450.0,152.0,114.99999999999999,30.0,817.0,208.0,161.0,235.0,12.0,55.00000000000001,28.000000000000004,147.0,138.0
040203,04,02,03,100.0,3257.0,280.0,200.0,304.0,197.0,162.0,842.0,238.0,221.0,146.0,236.0,637.0,112.99999999999999,237.0,1018.0,358.0,231.99999999999997,52.0,2977.0,801.0,378.0,1155.0,97.0,295.0,91.0,294.0,471.0
040304,04,03,04,100.0,3252.0000000000005,348.0,166.0,398.0,166.0,192.0,844.9999999999999,197.0,178.0,141.0,164.0,738.0,131.0,278.0,1162.0,442.0,258.0,83.0,3528.0,1704.0,332.0,1056.0,133.0,290.0,93.0,267.0,680.0
040305,04,03,05,100.0,2267.0,183.0,142.0,319.0,111.00000000000001,107.0,697.0,114.99999999999999,166.0,91.0,110.00000000000001,394.0,103.0,106.0,638.0,222.00000000000003,131.0,52.0,2317.0,942.0,239.0,743.0,191.0,136.0,140.0,158.0,454.0
040306,04,03,06,100.0,4219.0,366.0,294.0,446.0,202.99999999999997,174.0,1078.0,272.0,249.00000000000003,268.0,256.0,944.9999999999999,140.0,357.0,2025.0,695.0,640.0,129.0,3870.0000000000005,1426.0,501.0,1388.0,288.0,263.0,184.0,342.0,892.0
040307,04,03,07,100.0,3642.0,421.0,231.99999999999997,447.0,215.0,219.0,764.0,179.0,267.0,122.0,321.0,558.0,88.0,239.0,1397.0,440.00000000000006,361.0,57.99999999999999,2238.0,560.0,279.0,984.0,161.0,259.0,115.99999999999999,418.0,362.0
040308,04,03,08,100.0,3684.0000000000005,355.0,275.0,530.0,172.0,297.0,626.0,245.00000000000003,241.0,194.0,262.0,857.0,92.0,389.0,1063.0,382.0,215.0,59.0,2674.0,908.0,243.00000000000003,1026.0,188.0,189.0,182.0,444.00000000000006,421.0
040309,04,03,09,100.0,2548.0,312.0,160.0,269.0,178.0,188.0,484.99999999999994,105.0,229.99999999999997,77.0,261.0,388.0,65.0,164.0,911.0,334.0,211.0,25.0,1410.0,430.0,199.0,547.0,92.0,101.0,68.0,416.0,362.0
040310,04,03,10,100.0,2333.0,221.0,145.0,275.0,118.0,110.00000000000001,603.0,104.0,150.0,104.0,163.0,426.99999999999994,77.0,161.0,1071.0,399.0,262.0,39.0,1407.0,379.0,242.0,559.0,66.0,86.0,93.0,259.0,295.0
040411,04,04,11,100.0,2556.0,181.0,122.0,224.00000000000003,146.0,120.0,722.0,129.0,239.0,144.0,151.0,462.0,84.0,107.0,1712.0,718.0,404.0,68.0,1517.0,418.0,345.0,475.0,70.0,88.0,24.0,312.0,358.0
040412,04,04,12,100.0,1545.0,163.0,52.0,172.0,98.0,56.00000000000001,449.0,68.0,128.0,66.0,77.0,254.99999999999997,28.000000000000004,96.0,810.0,281.0,216.0,31.0,1208.0,275.0,185.0,476.99999999999994,30.0,96.0,73.0,145.0,273.0
040413,04,04,13,100.0,1954.0,163.0,151.0,200.0,97.0,74.0,625.0,72.0,98.0,119.0,102.0,378.0,84.0,119.0,701.0,263.0,167.0,32.0,1184.0,401.0,210.0,358.0,39.0,82.0,33.0,330.0,259.0
040514,04,05,14,100.0,4789.0,415.00000000000006,304.0,527.0,286.0,234.0,1112.0,292.0,314.0,292.0,330.0,908.0,173.0,238.0,2494.0,974.0,534.0,114.99999999999999,3096.0,952.9999999999999,415.00000000000006,1201.0,120.0,273.0,127.0,594.0,669.0
040515,04,05,15,100.0,2265.0,180.0,125.0,257.0,93.0,101.0,535.0,117.0,134.0,247.00000000000003,143.0,650.0,102.0,217.0,784.0,315.0,159.0,21.0,1739.0,593.0,143.0,726.0,92.0,276.0,64.0,206.99999999999997,379.0
040516,04,05,16,100.0,4840.0,493.0,299.0,620.0,249.00000000000003,269.0,1111.0,250.99999999999997,301.0,262.0,339.0,869.0,153.0,252.0,1623.9999999999998,647.0,377.0,71.0,3177.0,1001.0,284.0,1294.0,160.0,401.0,220.00000000000003,490.00000000000006,707.0
040617,04,06,17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0
050101,05,01,01,100.0,2262.0,62.0,57.99999999999999,147.0,67.0,43.0,1069.0,202.99999999999997,182.0,152.0,131.0,756.0,187.0,260.0,805.0000000000001,332.0,123.0,150.0,2914.0,1086.0,199.0,1051.0,247.00000000000003,280.0,51.0,50.0,578.0
050102,05,01,02,100.0,4867.0,55.00000000000001,119.0,238.0,70.0,77.0,2626.0,525.0,516.0,229.99999999999997,123.0,1129.0,284.0,401.99999999999994,3386.9999999999995,1450.0,375.0,983.0,7611.0,2935.0,275.0,2265.0,337.0,874.0,120.0,70.0,1057.0
