id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
10020518,10,02,05,18,100.0,217.0,181.0,45.0,159.0,404.0,117.0,66.0,64.0,632.0,846.0000000000001
10020519,10,02,05,19,100.0,306.0,348.0,91.0,225.0,683.0,157.0,106.0,102.0,935.0,1388.0
10020620,10,02,06,20,100.0,59.0,84.0,18.0,66.0,222.00000000000003,76.0,49.0,83.0,337.0,343.0
10020621,10,02,06,21,100.0,243.00000000000003,194.0,38.0,183.0,492.0,143.0,88.0,84.0,766.0,941.0
10020622,10,02,06,22,100.0,119.0,140.0,42.0,94.0,426.99999999999994,142.0,112.99999999999999,153.0,624.0,596.0
10020623,10,02,06,23,100.0,88.0,108.0,33.0,84.0,235.0,94.0,106.0,138.0,463.0,400.0
10030724,10,03,07,24,100.0,65.0,92.0,28.000000000000004,426.0,505.0,98.0,93.0,114.99999999999999,634.0,921.0000000000001
10030725,10,03,07,25,100.0,185.0,188.0,51.0,174.0,458.0,152.0,122.0,179.0,745.0,880.0000000000001
10030726,10,03,07,26,100.0,67.0,77.0,16.0,52.0,220.00000000000003,56.99999999999999,37.0,56.99999999999999,289.0,282.0
10030727,10,03,07,27,100.0,134.0,178.0,53.0,83.0,332.0,141.0,119.0,157.0,593.0,450.0
10040828,10,04,08,28,100.0,61.0,112.99999999999999,19.0,63.0,202.0,90.0,77.0,76.0,360.0,332.0
10040829,10,04,08,29,100.0,43.0,53.0,15.0,50.0,165.0,62.0,12.0,43.0,204.99999999999997,277.0
10040830,10,04,08,30,100.0,52.0,79.0,24.0,39.0,124.0,57.99999999999999,57.99999999999999,112.99999999999999,299.0,183.0
10040931,10,04,09,31,100.0,78.0,119.0,39.0,94.0,244.0,107.0,94.0,106.0,429.0,353.0
10040932,10,04,09,32,100.0,52.0,37.0,16.0,28.000000000000004,187.0,50.0,28.000000000000004,48.0,217.0,219.0
10040933,10,04,09,33,100.0,146.0,156.0,38.0,96.0,328.0,161.0,106.0,156.0,586.0,476.0
11010101,11,01,01,01,100.0,3.0,0.0,6.0,6.0,46.0,12.0,3.0,3.0,30.0,52.0
11010102,11,01,01,02,100.0,15.0,12.0,12.0,16.0,67.0,31.0,9.0,24.0,78.0,83.0
11010103,11,01,01,03,100.0,118.0,131.0,32.0,104.0,225.0,43.0,38.0,6.0,295.0,547.0
11010204,11,01,02,04,100.0,409.0,455.99999999999994,115.99999999999999,291.0,914.0,276.0,250.0,197.0,1477.0,1800.0
11010205,11,01,02,05,100.0,281.0,411.00000000000006,112.99999999999999,222.00000000000003,670.0,267.0,246.0,150.0,1159.0,1479.0
11010206,11,01,02,06,100.0,204.99999999999997,217.0,61.0,244.0,547.0,163.0,122.0,136.0,844.9999999999999,1116.0
11010207,11,01,02,07,100.0,311.0,288.0,70.0,263.0,671.0,187.0,136.0,127.0,952.9999999999999,1441.0
11010308,11,01,03,08,100.0,409.0,571.0,141.0,347.0,1051.0,396.0,302.0,248.0,1762.0,2034.0
11010309,11,01,03,09,100.0,362.0,446.0,100.0,316.0,830.0000000000001,309.0,236.0,166.0,1319.0,1704.0
11010310,11,01,03,10,100.0,143.0,142.0,33.0,197.0,413.99999999999994,96.0,79.0,89.0,573.0,802.9999999999999
11020411,11,02,04,11,100.0,450.0,484.99999999999994,107.0,355.0,1092.0,257.0,120.0,108.0,1438.0,2201.0
11020412,11,02,04,12,100.0,154.0,185.0,59.0,227.99999999999997,503.0,137.0,112.99999999999999,114.99999999999999,663.0,886.0
11020513,11,02,05,13,100.0,115.99999999999999,187.0,32.0,110.00000000000001,227.0,76.0,27.0,66.0,415.00000000000006,642.0
11020514,11,02,05,14,100.0,343.0,333.0,97.0,362.0,988.0000000000001,220.00000000000003,111.00000000000001,86.0,1165.0,1922.0
11020515,11,02,05,15,100.0,520.0,627.0,154.0,501.0,1376.0,463.0,337.0,277.0,2149.0,2588.0
11020516,11,02,05,16,100.0,104.0,95.0,28.000000000000004,99.0,276.0,78.0,62.0,44.0,384.0,403.0
11030617,11,03,06,17,100.0,239.0,319.0,92.0,324.0,821.0000000000001,254.0,148.0,129.0,1095.0,1471.0
11030618,11,03,06,18,100.0,426.99999999999994,446.0,143.0,997.0000000000001,1776.0000000000002,429.0,282.0,350.0,2400.0,3028.0
11030619,11,03,06,19,100.0,405.0,429.0,126.0,459.0,1396.0,419.00000000000006,292.0,231.99999999999997,1846.0,2280.0
11030720,11,03,07,20,100.0,202.0,172.0,62.0,844.9999999999999,1607.0,401.0,215.0,78.0,1206.0,3172.0
11030721,11,03,07,21,100.0,623.0,599.0,156.0,1158.0,2722.0,658.0,491.0,338.0,3193.0,4524.0
11030824,11,03,08,24,100.0,363.0,430.0,100.0,670.0,1256.0,351.0,307.0,242.0,1814.9999999999998,2308.0
11040925,11,04,09,25,100.0,112.99999999999999,74.0,30.0,161.0,484.0,115.99999999999999,40.0,39.0,524.0,690.0
11040926,11,04,09,26,100.0,756.0,670.0,159.0,1042.0,3178.0,631.0,389.0,326.0,3499.0,4802.0
11041022,11,04,10,22,100.0,173.0,206.99999999999997,67.0,328.0,780.0,210.0,118.0,102.0,875.0,1427.0
11041023,11,04,10,23,100.0,285.0,356.0,78.0,287.0,896.0000000000001,209.0,176.0,143.0,1206.0,1418.0
11041027,11,04,10,27,100.0,86.0,123.0,28.000000000000004,142.0,342.0,89.0,67.0,76.0,458.0,636.0
11041128,11,04,11,28,100.0,789.0,698.0,220.00000000000003,1207.0,2562.0,571.0,509.99999999999994,614.0,3651.0,4405.0
11051229,11,05,12,29,100.0,148.0,107.0,27.0,124.0,330.0,92.0,43.0,49.0,486.00000000000006,542.0
11051330,11,05,13,30,100.0,236.0,152.0,49.0,556.0,940.0,139.0,62.0,70.0,921.0000000000001,1519.0
11051331,11,05,13,31,100.0,156.0,212.0,35.0,158.0,474.0,124.0,103.0,131.0,670.0,699.0
11051332,11,05,13,32,100.0,88.0,165.0,25.0,127.0,339.0,133.0,55.00000000000001,68.0,514.0,483.0
12103115,12,10,31,15,100.0,323.0,367.0,99.0,417.0,1174.0,490.00000000000006,316.0,306.0,1682.0,1998.0
12103116,12,10,31,16,100.0,474.0,697.0,206.99999999999997,597.0,1672.0,705.0,379.0,299.0,2333.0,3105.0
12103117,12,10,31,17,100.0,625.0,712.0,206.0,711.0,2068.0,717.0,537.0,434.0,2887.0,3649.0
12103218,12,10,32,18,100.0,581.0,699.0,213.0,936.9999999999999,2147.0,830.0000000000001,597.0,466.0,3022.0,3722.0
12103219,12,10,32,19,100.0,430.0,476.0,130.0,468.0,1444.0,514.0,333.0,329.0,1957.9999999999998,2289.0
12103220,12,10,32,20,100.0,129.0,147.0,28.000000000000004,147.0,509.99999999999994,216.0,158.0,134.0,709.0,768.0
12214125,12,21,41,25,100.0,239.0,284.0,94.0,271.0,884.0,360.0,237.0,185.0,1058.0,1362.0
12214126,12,21,41,26,100.0,312.0,401.99999999999994,126.0,356.0,960.0,444.00000000000006,331.0,349.0,1641.0,1755.0
