district,forecast_area,district_region,planning_area,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners
3,4,5,13,3424,158.0,388.0,113.0,300.0,661.0,595.0,498.0,711.0,1769.0,271.0
3,4,6,14,37024,2666.0,3758.0,927.0,2723.0,10925.0,5611.0,3951.0,6463.0,19618.0,3395.0
3,4,8,18,35345,2301.0,2796.0,722.0,2668.0,11733.0,5113.0,4009.0,6003.0,18456.0,4134.0
3,5,9,19,5140,324.0,349.0,106.0,428.0,1385.0,779.0,675.0,1094.0,2664.0,478.0
3,5,9,20,7517,490.0,714.0,164.0,505.0,2251.0,1104.0,843.0,1446.0,3950.0,713.0
3,5,9,23,9762,759.0,724.0,184.0,831.0,4058.0,1332.0,947.0,927.0,4739.0,1562.0
3,5,9,24,6287,498.0,602.0,139.0,579.0,2426.0,913.0,626.0,504.0,3081.0,1042.0
3,5,9,25,9822,741.0,1037.0,303.0,773.0,3183.0,1583.0,1025.0,1177.0,5078.0,1247.0
3,5,10,17,4249,223.0,315.0,66.0,467.0,1303.0,665.0,617.0,593.0,2049.0,673.0
3,5,10,21,6591,345.0,421.0,124.0,467.0,1788.0,780.0,786.0,1880.0,3489.0,582.0
3,5,10,22,4664,315.0,371.0,105.0,319.0,1142.0,585.0,633.0,1194.0,2558.0,315.0
3,6,11,26,15939,1075.0,1148.0,264.0,1549.0,7133.0,2418.0,1145.0,1207.0,7843.0,3349.0
3,6,11,31,10597,726.0,854.0,156.0,994.0,4672.0,1911.0,725.0,559.0,5231.0,2531.0
3,6,12,27,14641,835.0,945.0,228.0,1288.0,6290.0,2341.0,1196.0,1518.0,7502.0,2623.0
3,6,12,28,12803,681.0,653.0,168.0,1186.0,5329.0,1601.0,1255.0,1930.0,6575.0,2196.0
3,6,13,32,22757,1594.0,2073.0,501.0,1831.0,9416.0,4628.0,1771.0,943.0,11275.0,4931.0
3,6,14,29,10002,387.0,580.0,140.0,718.0,2063.0,1116.0,1097.0,3901.0,5452.0,1064.0
3,6,14,30,4055,327.0,410.0,118.0,420.0,1075.0,487.0,402.0,816.0,1969.0,1445.0
3,6,14,34,6491,418.0,457.0,81.0,568.0,2881.0,940.0,590.0,556.0,3232.0,1361.0
3,6,14,35,4020,238.0,240.0,82.0,423.0,1603.0,537.0,407.0,490.0,1996.0,796.0
3,6,14,41,2741,304.0,491.0,72.0,134.0,944.0,438.0,152.0,206.0,1382.0,401.0
3,7,15,36,11281,760.0,994.0,283.0,1049.0,4511.0,2265.0,899.0,520.0,5508.0,2834.0
3,7,15,37,15902,1206.0,1385.0,369.0,1280.0,6192.0,2945.0,1524.0,1001.0,7842.0,3900.0
3,7,16,33,3196,212.0,232.0,63.0,228.0,1044.0,376.0,420.0,621.0,1600.0,668.0
3,7,16,38,17710,1275.0,1609.0,378.0,1472.0,7192.0,3156.0,1430.0,1198.0,8850.0,3845.0
3,7,16,39,12868,879.0,1333.0,335.0,958.0,4632.0,2542.0,1195.0,994.0,6492.0,2225.0
4,1,1,1,10801,584.0,769.0,232.0,1144.0,2820.0,1434.0,1425.0,2393.0,5556.0,3088.0
4,1,1,2,814,43.0,55.0,10.0,121.0,183.0,88.0,118.0,196.0,278.0,286.0
4,1,1,3,7964,569.0,726.0,223.0,729.0,1894.0,1101.0,964.0,1758.0,4220.0,2219.0
4,2,2,4,189,6.0,32.0,15.0,16.0,27.0,39.0,15.0,39.0,94.0,39.0
4,2,2,5,1296,48.0,109.0,34.0,118.0,230.0,206.0,184.0,367.0,652.0,178.0
4,2,2,6,2896,114.0,152.0,28.0,173.0,488.0,296.0,353.0,1292.0,1560.0,559.0
4,2,2,7,2539,119.0,170.0,52.0,215.0,497.0,412.0,382.0,692.0,1307.0,483.0
4,2,2,8,2978,107.0,294.0,106.0,277.0,423.0,494.0,470.0,807.0,1512.0,407.0
4,2,2,9,3249,103.0,242.0,106.0,725.0,695.0,352.0,362.0,664.0,1635.0,1015.0
4,2,3,10,811,70.0,64.0,17.0,217.0,234.0,50.0,59.0,100.0,398.0,462.0
4,2,3,11,15119,635.0,920.0,369.0,1428.0,3306.0,2038.0,1935.0,4488.0,7801.0,3101.0
4,2,3,12,5547,261.0,400.0,124.0,462.0,1162.0,739.0,792.0,1607.0,2908.0,1110.0
4,2,3,13,7249,380.0,377.0,102.0,888.0,2015.0,915.0,974.0,1598.0,3779.0,1683.0
4,2,3,14,9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,9.0
4,3,4,15,3346,137.0,128.0,50.0,510.0,1028.0,360.0,382.0,751.0,1637.0,1449.0
4,3,4,16,10593,635.0,800.0,297.0,1171.0,2994.0,1500.0,1477.0,1719.0,5458.0,2846.0
4,3,4,17,10954,538.0,698.0,214.0,1136.0,3048.0,1555.0,1515.0,2250.0,5696.0,2587.0
4,3,5,18,9561,441.0,468.0,152.0,1139.0,2982.0,1325.0,1419.0,1635.0,4870.0,2664.0
4,3,5,19,5908,314.0,364.0,89.0,675.0,1977.0,787.0,771.0,931.0,2889.0,1621.0
