district,forecast_area,district_region,planning_area,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners
3,4,8,18,6528,757.0,669.0,143.0,711.0,2892.0,621.0,333.0,402.0,3251.0,4134.0
3,5,9,19,692,87.0,87.0,30.0,98.0,233.0,64.0,34.0,59.0,320.0,478.0
3,5,9,20,1216,157.0,165.0,24.0,98.0,489.0,143.0,60.0,80.0,598.0,713.0
3,5,9,23,2349,271.0,192.0,57.0,307.0,1146.0,205.0,102.0,69.0,1099.0,1562.0
3,5,9,24,1523,158.0,156.0,37.0,203.0,695.0,143.0,84.0,47.0,741.0,1042.0
3,5,9,25,1941,239.0,263.0,71.0,249.0,745.0,201.0,104.0,69.0,982.0,1247.0
3,5,10,17,975,61.0,83.0,6.0,208.0,387.0,92.0,71.0,67.0,416.0,673.0
3,5,10,21,871,122.0,84.0,30.0,120.0,314.0,79.0,54.0,68.0,432.0,582.0
3,5,10,22,518,73.0,77.0,19.0,63.0,171.0,46.0,15.0,54.0,276.0,315.0
3,6,11,26,4959,483.0,414.0,81.0,669.0,2503.0,487.0,184.0,138.0,2395.0,3349.0
3,6,11,31,3628,309.0,302.0,43.0,443.0,1905.0,389.0,135.0,102.0,1817.0,2531.0
3,6,12,27,3992,324.0,319.0,73.0,459.0,2145.0,436.0,143.0,93.0,2032.0,2623.0
3,6,12,28,3282,287.0,271.0,62.0,398.0,1700.0,278.0,148.0,138.0,1704.0,2196.0
3,6,13,32,7391,696.0,736.0,141.0,730.0,3673.0,939.0,320.0,156.0,3689.0,4931.0
3,6,14,29,1784,193.0,244.0,44.0,227.0,579.0,214.0,103.0,180.0,958.0,1064.0
3,6,14,30,1737,236.0,282.0,77.0,279.0,577.0,142.0,75.0,69.0,786.0,1445.0
3,6,14,34,1924,164.0,151.0,21.0,214.0,1055.0,162.0,75.0,82.0,949.0,1361.0
3,6,14,35,1202,101.0,109.0,32.0,152.0,555.0,141.0,64.0,48.0,605.0,796.0
3,6,14,41,755,98.0,152.0,26.0,66.0,274.0,88.0,27.0,24.0,398.0,401.0
3,7,15,36,4217,373.0,384.0,143.0,494.0,1995.0,580.0,150.0,98.0,2082.0,2834.0
3,7,15,37,5665,576.0,584.0,140.0,536.0,2702.0,689.0,263.0,175.0,2856.0,3900.0
3,7,16,33,1005,119.0,117.0,20.0,76.0,497.0,84.0,31.0,61.0,490.0,668.0
3,7,16,38,5806,560.0,586.0,119.0,570.0,2903.0,659.0,260.0,149.0,2935.0,3845.0
3,7,16,39,3577,351.0,400.0,95.0,348.0,1624.0,442.0,193.0,124.0,1827.0,2225.0
4,1,1,1,5307,417.0,542.0,156.0,646.0,1730.0,778.0,529.0,509.0,2609.0,3088.0
4,1,1,2,349,34.0,43.0,10.0,79.0,109.0,33.0,18.0,23.0,101.0,286.0
4,1,1,3,4415,457.0,582.0,161.0,415.0,1305.0,631.0,446.0,418.0,2270.0,2219.0
4,2,2,4,70,0.0,25.0,6.0,4.0,11.0,9.0,3.0,12.0,25.0,39.0
4,2,2,5,324,12.0,44.0,15.0,45.0,98.0,58.0,31.0,21.0,151.0,178.0
4,2,2,6,871,81.0,96.0,15.0,102.0,271.0,116.0,83.0,107.0,420.0,559.0
4,2,2,7,801,56.0,82.0,19.0,103.0,240.0,124.0,82.0,95.0,394.0,483.0
4,2,2,8,811,44.0,134.0,30.0,86.0,169.0,148.0,111.0,89.0,424.0,407.0
4,2,2,9,1300,34.0,68.0,31.0,458.0,460.0,100.0,83.0,66.0,643.0,1015.0
4,2,3,10,534,70.0,64.0,9.0,151.0,189.0,26.0,15.0,10.0,263.0,462.0
4,2,3,11,5157,330.0,467.0,182.0,662.0,1685.0,719.0,473.0,639.0,2453.0,3101.0
4,2,3,12,1826,136.0,217.0,75.0,223.0,550.0,260.0,179.0,186.0,894.0,1110.0
4,2,3,13,2766,220.0,246.0,44.0,367.0,959.0,333.0,256.0,341.0,1408.0,1683.0
4,2,3,14,9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,9.0
4,3,4,15,1879,86.0,95.0,41.0,374.0,734.0,219.0,177.0,153.0,836.0,1449.0
4,3,4,16,5154,391.0,496.0,171.0,518.0,1593.0,708.0,583.0,694.0,2645.0,2846.0
4,3,4,17,4286,295.0,406.0,114.0,481.0,1436.0,607.0,431.0,516.0,2165.0,2587.0
4,3,5,18,4428,305.0,323.0,109.0,517.0,1521.0,607.0,495.0,551.0,2171.0,2664.0
4,3,5,19,2753,197.0,265.0,69.0,286.0,1025.0,386.0,259.0,266.0,1298.0,1621.0
4,3,6,20,4068,260.0,358.0,103.0,424.0,1370.0,609.0,461.0,483.0,2056.0,2425.0
4,3,6,21,1858,100.0,155.0,47.0,240.0,676.0,282.0,177.0,181.0,860.0,1177.0
4,3,6,22,5285,382.0,443.0,128.0,521.0,1789.0,733.0,564.0,725.0,2650.0,3105.0
4,3,6,23,2924,219.0,248.0,69.0,287.0,1048.0,380.0,308.0,365.0,1516.0,1673.0
4,3,7,24,2575,174.0,180.0,65.0,273.0,858.0,316.0,262.0,447.0,1336.0,1562.0
4,3,7,25,5206,347.0,416.0,152.0,631.0,1826.0,701.0,545.0,588.0,2552.0,3339.0
4,3,7,26,2627,181.0,203.0,93.0,255.0,769.0,440.0,316.0,370.0,1343.0,1635.0
4,3,8,27,6780,438.0,547.0,153.0,852.0,2284.0,977.0,709.0,820.0,3281.0,4432.0
4,3,8,28,4532,249.0,318.0,98.0,505.0,1557.0,711.0,506.0,588.0,2276.0,2952.0
4,3,9,29,2677,144.0,246.0,61.0,218.0,863.0,376.0,375.0,394.0,1335.0,1641.0
4,3,9,30,2679,155.0,214.0,59.0,244.0,743.0,399.0,409.0,456.0,1267.0,1697.0
4,3,9,31,2171,148.0,175.0,45.0,162.0,716.0,350.0,233.0,342.0,1043.0,1488.0
4,3,10,32,6935,466.0,592.0,177.0,693.0,2321.0,996.0,791.0,899.0,3499.0,4195.0
4,4,11,33,75,0.0,0.0,0.0,19.0,34.0,19.0,3.0,0.0,21.0,72.0
4,4,11,34,2190,168.0,260.0,66.0,191.0,656.0,362.0,222.0,265.0,1124.0,1189.0
4,4,11,35,1047,67.0,119.0,31.0,83.0,247.0,165.0,155.0,180.0,550.0,574.0
4,4,11,36,1155,92.0,142.0,58.0,102.0,301.0,174.0,120.0,166.0,631.0,630.0
4,4,11,37,3300,259.0,361.0,86.0,282.0,1060.0,503.0,345.0,404.0,1718.0,1807.0
4,4,12,38,2195,204.0,300.0,72.0,185.0,594.0,348.0,239.0,253.0,1135.0,1050.0
4,4,12,39,236,32.0,24.0,9.0,42.0,80.0,27.0,19.0,3.0,96.0,212.0
4,4,12,40,428,21.0,56.0,16.0,52.0,111.0,72.0,59.0,41.0,224.0,218.0
4,4,12,41,1854,125.0,216.0,42.0,226.0,527.0,287.0,217.0,214.0,933.0,1033.0
4,4,13,42,1486,121.0,152.0,30.0,127.0,377.0,230.0,203.0,246.0,745.0,803.0
4,4,13,43,1155,90.0,113.0,36.0,93.0,323.0,187.0,145.0,168.0,600.0,607.0
4,4,13,44,3094,218.0,323.0,98.0,281.0,924.0,455.0,329.0,466.0,1593.0,1800.0
4,5,14,45,2907,217.0,280.0,91.0,288.0,900.0,439.0,332.0,360.0,1524.0,1567.0
4,5,14,46,4985,376.0,489.0,127.0,433.0,1558.0,643.0,572.0,787.0,2498.0,2918.0
4,5,14,47,2288,144.0,170.0,79.0,200.0,710.0,338.0,299.0,348.0,1208.0,1352.0
4,5,14,48,4477,298.0,311.0,87.0,411.0,1474.0,674.0,525.0,697.0,2207.0,2823.0
4,5,15,49,2109,197.0,244.0,74.0,219.0,722.0,284.0,189.0,180.0,986.0,1318.0
4,5,15,50,2469,158.0,230.0,68.0,322.0,787.0,364.0,254.0,286.0,1229.0,1501.0
4,5,15,51,2018,142.0,205.0,63.0,215.0,650.0,271.0,229.0,243.0,989.0,1165.0
4,5,16,52,4045,288.0,398.0,124.0,422.0,1255.0,572.0,439.0,547.0,1998.0,2513.0
4,5,16,53,3086,171.0,270.0,92.0,364.0,983.0,439.0,334.0,433.0,1543.0,1875.0
4,5,16,54,1160,64.0,97.0,12.0,120.0,415.0,152.0,141.0,159.0,596.0,684.0
4,5,16,55,3336,249.0,326.0,98.0,391.0,1175.0,444.0,318.0,335.0,1637.0,1964.0
4,5,16,56,2608,188.0,282.0,74.0,299.0,892.0,368.0,257.0,248.0,1273.0,1524.0
4,6,17,57,21,0.0,0.0,0.0,11.0,0.0,3.0,3.0,4.0,6.0,14.0
5,1,1,1,3170,346.0,455.0,105.0,326.0,995.0,415.0,268.0,260.0,1575.0,1541.0
5,1,1,2,3071,400.0,322.0,83.0,411.0,1110.0,323.0,197.0,225.0,1516.0,1934.0
5,1,1,3,1504,129.0,201.0,40.0,134.0,435.0,204.0,155.0,206.0,738.0,702.0
5,1,2,4,1581,169.0,294.0,90.0,173.0,425.0,178.0,111.0,141.0,811.0,884.0
5,1,2,5,635,39.0,87.0,33.0,76.0,151.0,98.0,75.0,76.0,324.0,251.0
5,1,2,6,4552,517.0,637.0,198.0,490.0,1322.0,568.0,435.0,385.0,2223.0,2447.0
5,1,2,7,6013,569.0,845.0,259.0,528.0,1683.0,774.0,665.0,690.0,3089.0,2740.0
5,1,2,8,2785,297.0,330.0,77.0,351.0,919.0,320.0,280.0,211.0,1353.0,1674.0
5,1,2,9,2007,165.0,286.0,69.0,206.0,561.0,333.0,204.0,183.0,971.0,985.0
5,1,3,10,1577,197.0,186.0,49.0,174.0,541.0,236.0,95.0,99.0,777.0,964.0
5,1,3,11,2859,234.0,399.0,135.0,315.0,810.0,416.0,263.0,287.0,1453.0,1381.0
5,1,3,12,4309,434.0,561.0,144.0,586.0,1436.0,540.0,331.0,277.0,1955.0,3119.0
5,1,3,13,2972,292.0,333.0,116.0,424.0,910.0,435.0,241.0,221.0,1418.0,1881.0
5,1,3,14,4941,436.0,518.0,181.0,566.0,1588.0,682.0,516.0,454.0,2414.0,2803.0
5,1,3,39,663,88.0,164.0,33.0,71.0,188.0,62.0,26.0,31.0,295.0,608.0
5,2,4,15,816,70.0,124.0,47.0,72.0,168.0,145.0,123.0,67.0,408.0,247.0
5,2,4,16,96,6.0,12.0,3.0,7.0,23.0,12.0,15.0,18.0,50.0,24.0
5,2,4,17,1800,118.0,218.0,92.0,224.0,451.0,265.0,200.0,232.0,864.0,855.0
5,2,4,18,1198,139.0,168.0,56.0,142.0,393.0,125.0,98.0,77.0,552.0,716.0
5,2,4,19,2288,286.0,330.0,64.0,224.0,718.0,240.0,219.0,207.0,1169.0,1235.0
5,2,4,20,198,18.0,41.0,6.0,28.0,41.0,24.0,21.0,19.0,90.0,91.0
5,2,5,21,908,81.0,146.0,56.0,85.0,233.0,166.0,81.0,60.0,446.0,322.0
5,2,5,22,3715,449.0,614.0,156.0,351.0,1111.0,479.0,291.0,264.0,1852.0,2388.0
5,2,5,23,7631,890.0,1287.0,399.0,860.0,2092.0,886.0,650.0,567.0,3842.0,4090.0
5,2,5,24,1439,151.0,160.0,52.0,169.0,369.0,201.0,181.0,156.0,702.0,689.0
5,2,6,25,2959,261.0,320.0,111.0,442.0,904.0,364.0,260.0,297.0,1374.0,1797.0
5,2,6,26,6581,606.0,782.0,234.0,789.0,2191.0,885.0,597.0,497.0,3188.0,4060.0
5,2,6,27,2022,162.0,324.0,93.0,330.0,578.0,272.0,153.0,110.0,945.0,1284.0
5,2,6,28,525,47.0,68.0,22.0,47.0,129.0,71.0,75.0,66.0,262.0,242.0
5,2,6,29,710,60.0,64.0,33.0,34.0,183.0,127.0,76.0,133.0,374.0,334.0
5,3,7,30,2233,213.0,352.0,119.0,204.0,616.0,387.0,193.0,149.0,1100.0,775.0
5,3,7,31,5062,461.0,590.0,160.0,441.0,1530.0,692.0,623.0,565.0,2592.0,2439.0
5,3,8,32,5849,508.0,740.0,189.0,680.0,1841.0,734.0,576.0,581.0,2788.0,3374.0
5,3,8,33,236,19.0,14.0,12.0,28.0,73.0,34.0,15.0,41.0,122.0,117.0
5,4,9,34,882,99.0,141.0,57.0,84.0,222.0,86.0,87.0,106.0,404.0,494.0
5,4,9,35,113,9.0,3.0,6.0,12.0,33.0,28.0,13.0,9.0,50.0,67.0
5,4,9,36,1804,181.0,369.0,105.0,90.0,379.0,305.0,192.0,183.0,950.0,581.0
5,4,9,37,354,32.0,36.0,25.0,37.0,72.0,36.0,45.0,71.0,203.0,126.0
5,4,9,38,527,34.0,106.0,22.0,44.0,98.0,83.0,62.0,78.0,284.0,203.0
