id,district_id,forecast_area_id,district_region_id,planning_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
09502043,09,50,20,43,100.0,336.0,16.0,18.0,28.000000000000004,13.0,9.0,110.00000000000001,22.0,41.0,3.0,40.0,43.0,6.0,15.0,238.0,62.0,110.00000000000001,17.0,202.0,9.0,21.0,102.0,0.0,45.0,18.0,12.0,25.0
10100101,10,10,01,01,100.0,417.0,0.0,6.0,13.0,0.0,3.0,165.0,35.0,114.99999999999999,9.0,3.0,52.0,0.0,12.0,737.0,293.0,91.0,185.0,605.0,30.0,15.0,229.99999999999997,0.0,125.0,249.00000000000003,0.0,25.0
10100102,10,10,01,02,100.0,195.0,0.0,10.0,4.0,3.0,7.000000000000001,43.0,20.0,45.0,7.000000000000001,0.0,106.0,30.0,30.0,269.0,87.0,42.0,78.0,394.0,53.0,12.0,111.00000000000001,0.0,61.0,283.0,6.0,20.0
10100103,10,10,01,03,100.0,429.0,7.000000000000001,13.0,13.0,7.000000000000001,3.0,141.0,12.0,130.0,11.0,6.0,52.0,25.0,6.0,1025.0,448.00000000000006,92.0,254.0,816.0,28.000000000000004,9.0,274.0,12.0,96.0,171.0,0.0,12.0
10100104,10,10,01,04,100.0,405.99999999999994,4.0,9.0,12.0,3.0,0.0,168.0,30.0,92.0,3.0,0.0,91.0,16.0,54.0,1185.0,508.0,107.0,372.0,696.0,57.99999999999999,7.000000000000001,122.0,0.0,66.0,340.0,3.0,22.0
10100205,10,10,02,05,100.0,59.0,0.0,0.0,6.0,0.0,0.0,13.0,9.0,22.0,0.0,0.0,51.0,20.0,22.0,405.99999999999994,28.999999999999996,56.99999999999999,9.0,336.0,47.0,7.000000000000001,165.0,6.0,60.0,26.0,0.0,6.0
10100206,10,10,02,06,100.0,716.0,4.0,3.0,9.0,9.0,16.0,275.0,111.00000000000001,130.0,22.0,0.0,295.0,59.0,122.0,1255.0,499.0,202.0,388.0,1096.0,75.0,6.0,436.00000000000006,12.0,262.0,266.0,7.000000000000001,57.99999999999999
10100207,10,10,02,07,100.0,470.0,0.0,7.000000000000001,27.0,9.0,0.0,178.0,45.0,122.0,12.0,9.0,85.0,19.0,32.0,573.0,169.0,134.0,123.0,486.00000000000006,34.0,24.0,175.0,12.0,89.0,99.0,0.0,12.0
10100208,10,10,02,08,100.0,586.0,10.0,0.0,21.0,9.0,13.0,206.0,76.0,137.0,8.0,6.0,148.0,33.0,52.0,1059.0,388.0,206.99999999999997,254.0,873.0,79.0,24.0,320.0,6.0,168.0,279.0,0.0,31.0
10100209,10,10,02,09,100.0,817.0,6.0,3.0,22.0,3.0,13.0,280.0,59.0,294.0,28.000000000000004,9.0,152.0,13.0,55.00000000000001,1153.0,357.0,174.0,238.0,1002.0,53.0,31.0,409.0,9.0,206.99999999999997,254.0,18.0,39.0
10100210,10,10,02,10,100.0,610.0,6.0,28.999999999999996,19.0,6.0,12.0,184.0,85.0,135.0,10.0,0.0,150.0,16.0,49.0,1315.0,496.0,261.0,337.0,1042.0,149.0,22.0,344.0,18.0,90.0,394.0,6.0,49.0
10100311,10,10,03,11,100.0,136.0,6.0,9.0,9.0,0.0,0.0,34.0,19.0,37.0,0.0,0.0,65.0,0.0,54.0,166.0,68.0,56.99999999999999,18.0,139.0,15.0,7.000000000000001,47.0,0.0,16.0,133.0,10.0,52.0
10100312,10,10,03,12,100.0,762.0,6.0,32.0,49.0,21.0,15.0,229.99999999999997,69.0,157.0,12.0,6.0,211.0,28.000000000000004,47.0,2005.0,800.0,329.0,488.99999999999994,1726.0000000000002,91.0,17.0,523.0,12.0,240.0,382.0,3.0,95.0
10100313,10,10,03,13,100.0,280.0,6.0,9.0,9.0,3.0,6.0,102.0,35.0,65.0,11.0,0.0,45.0,3.0,6.0,501.99999999999994,175.0,104.0,121.0,633.0,34.0,6.0,167.0,4.0,98.0,292.0,0.0,30.0
