id,district_id,forecast_area_id,district_region_id,inhabitants,inhabitants_age_below_6,inhabitants_age_6_15,inhabitants_age_15_18,inhabitants_age_18_27,inhabitants_age_27_45,inhabitants_age_45_55,inhabitants_age_55_65,inhabitants_age_above_65,inhabitants_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_age_below_6_percentage,inhabitants_age_6_15_percentage,inhabitants_age_15_18_percentage,inhabitants_age_18_27_percentage,inhabitants_age_27_45_percentage,inhabitants_age_45_55_percentage,inhabitants_age_55_65_percentage,inhabitants_age_above_65_percentage,inhabitants_female_percentage,inhabitants_foreigners_percentage
052005,05,20,05,29827,2121,3385,1012,2919,6581,3613,3876,6320,15370,7594,100.0,7.111006805914105,11.348777952861502,3.3928990511952257,9.786435109129313,22.063901833908876,12.113186039494419,12.99493747275958,21.188855734736983,51.53049250678915,25.46015355215074
052006,05,20,06,36329,1958,2602,800,3662,9185,4609,5131,8382,18489,8004,100.0,5.389633626028792,7.1623221118115,2.2020974978667183,10.080101296484901,25.28283189738226,12.68683420958463,14.123702826942663,23.072476533898538,50.893225797572185,22.031985466156513
053007,05,30,07,17055,1217,1502,472,1758,4475,2148,2306,3177,8817,3748,100.0,7.135737320433891,8.806801524479626,2.7675168572266196,10.30782761653474,26.238639695104077,12.594547053649958,13.520961594840223,18.62796833773087,51.69744942832014,21.97596012899443
053008,05,30,08,12682,772,1110,345,1422,3485,1606,1660,2282,6244,3546,100.0,6.08736792304053,8.7525626872733,2.7203911055038636,11.212742469642013,27.479892761394105,12.66361772591074,13.089418072859171,17.99400725437628,49.23513641381486,27.960889449613624
054009,05,40,09,19929,1082,2038,645,1426,3272,2850,3172,5444,10129,1330,100.0,5.429273922424607,10.226303376988309,3.2364895378594007,7.155401675949621,16.418284911435595,14.30076772542526,15.916503587736464,27.316975262180744,50.825430277485076,6.673691605198455
061001,06,10,01,21837,1144,1515,481,2056,5591,2893,3156,5001,11618,3601,100.0,5.238814855520447,6.93776617667262,2.2026835187983695,9.415212712368916,25.603333791271695,13.248156798094977,14.452534688830884,22.901497458442094,53.20327883866831,16.490360397490498
061002,06,10,02,53046,2947,3546,1064,5136,14296,6876,7630,11551,27907,9192,100.0,5.555555555555555,6.68476416694944,2.0058062813407234,9.682162651283791,26.950194171096786,12.962334577536478,14.383742412245976,21.775440183991254,52.60905629076651,17.32835652075557
062003,06,20,03,43129,2382,3190,942,3807,9938,5511,6277,11082,22738,6717,100.0,5.522965985763639,7.3964154049479465,2.1841452387024973,8.827007350042894,23.042500405759466,12.777945234065246,14.554012381460272,25.695007999258042,52.720907046302955,15.574207609728951
062004,06,20,04,35664,1837,2897,963,3069,7101,4503,5126,10168,18793,5531,100.0,5.150852400179453,8.12303723642889,2.7002018842530284,8.605316285329746,19.910834454912514,12.626177658142664,14.373037236428893,28.51054284432481,52.69459398833558,15.508636159712877
063005,06,30,05,33870,1545,2754,919,2886,6352,4531,5108,9775,18092,4522,100.0,4.561558901682905,8.131089459698849,2.713315618541482,8.520814880425155,18.754059639799234,13.377620312961321,15.081192795984647,28.86034839090641,53.41600236197225,13.351048125184528
063006,06,30,06,49433,2463,4377,1428,4595,10284,7048,7294,11944,25579,7448,100.0,4.982501567778609,8.854408998037748,2.888758521635345,9.295409948819614,20.803916412113367,14.257682115186213,14.755325389921712,24.161997046507395,51.74478587178606,15.0668581716667
064007,06,40,07,26754,1202,2503,792,2657,4499,3625,3872,7604,13706,4168,100.0,4.492786125439187,9.35561037601854,2.9603050011213274,9.931225237347686,16.816177020258653,13.549375794273754,14.472602227704268,28.421918217836584,51.22972265829409,15.578978844284967
064008,06,40,08,42534,1990,3844,1418,3607,6835,6074,6386,12380,22719,5261,100.0,4.678610053133964,9.037475901631636,3.333803545398975,8.480274603846334,16.069497343301826,14.280340433535525,15.01387125593643,29.10612686321531,53.41373959655805,12.368928386702404
071001,07,10,01,26144,1265,1695,552,2551,7216,3815,3855,5195,12218,8400,100.0,4.83858629130967,6.483323133414933,2.1113831089351285,9.75749694002448,27.600979192166463,14.592258261933905,14.745257037943697,19.870716034271727,46.733476132190944,32.1297429620563
071002,07,10,02,23898,1319,1662,566,2356,7360,3408,3557,3670,11681,6864,100.0,5.519290317181355,6.954556866683405,2.368399029207465,9.858565570340614,30.797556280860324,14.260607582224456,14.88409071888861,15.356933634613776,48.878567244120845,28.722068792367562
072003,07,20,03,21063,1128,1381,416,2045,6326,2821,2895,4051,10537,4963,100.0,5.355362483976641,6.556520913450125,1.9750272990552153,9.708968333095951,30.033708398613683,13.393153871718177,13.74448084318473,19.232777856905475,50.026112139771165,23.562645397141907
072004,07,20,04,30743,1839,2089,588,3321,10464,4100,4356,3986,15437,7426,100.0,5.98184952672153,6.795042773964805,1.9126305175161826,10.802459096379664,34.03701655661451,13.336369254789709,14.169079139966822,12.965553134046775,50.21305663077774,24.155092216114237
073005,07,30,05,24413,1265,1874,639,2331,5901,3392,3812,5199,13073,3686,100.0,5.181665506082825,7.676238069880801,2.61745791176832,9.548191537295702,24.1715479457666,13.89423667718019,15.614631548765,21.296030803260557,53.54933846721009,15.09851308728956
073006,07,30,06,21648,1314,1642,494,2230,6008,2878,3144,3938,11205,4438,100.0,6.069844789356985,7.5849963045085,2.2819660014781964,10.301182557280118,27.753141167775315,13.294530672579452,14.523281596452328,18.191056910569106,51.759977827050996,20.500739098300073
074007,07,40,07,17354,959,1492,431,1655,4407,2324,2590,3496,9043,3141,100.0,5.526103491990319,8.597441512043332,2.483577273251124,9.536706234873805,25.39472167799931,13.391725250662672,14.924513080557796,20.145211478621643,52.10902385617149,18.099573585340558
074008,07,40,08,31739,1920,2141,625,3166,9162,3939,4366,6420,16499,6178,100.0,6.049339928794228,6.74564416018148,1.9691861747377044,9.975109486751316,28.86669397271496,12.410598947666909,13.755946942247707,20.2274803869057,51.983364315195814,19.46501150004726
074009,07,40,09,14993,937,1090,299,1717,4822,1780,1880,2468,7488,4292,100.0,6.249583138798106,7.27005936103515,1.9942639898619354,11.452010938437937,32.16167544854265,11.872207029947308,12.539184952978054,16.461015140398853,49.94330687654239,28.62669245647969
075010,07,50,10,31538,1866,2136,625,2893,8470,3779,4451,7318,16327,6071,100.0,5.916671951296848,6.772782040712791,1.9817363180924599,9.173061069186378,26.856490582789018,11.98237047371425,14.113133362927263,23.203754201280994,51.76929418479295,19.24979389942292
