id,district_id,forecast_area_id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
0302,03,02,100.0,2585.0,157.0,127.0,177.0,133.0,88.0,106.0,880.0000000000001,197.0,173.0,52.0,303.0,70.0,65.0,1308.0,534.0,172.0,214.0,1944.0000000000002,420.0,104.0,745.0,56.99999999999999,293.0,100.0,234.0,193.0
0303,03,03,100.0,1440.0,77.0,55.00000000000001,53.0,74.0,45.0,48.0,597.0,112.00000000000001,59.0,19.0,176.0,30.0,56.99999999999999,911.9999999999999,376.0,105.0,193.0,1687.0,144.0,53.0,790.0,23.0,344.0,96.0,56.00000000000001,83.0
0304,03,04,100.0,6431.999999999999,459.0,154.0,618.0,332.0,345.0,451.0,1768.0,348.0,305.0,182.0,694.0,127.0,178.0,2189.0,859.0,389.0,274.0,3226.0,762.0,170.0,1235.0,136.0,398.0,240.0,425.0,404.0
0305,03,05,100.0,3981.0,249.00000000000003,152.0,430.99999999999994,174.0,188.0,235.0,969.0,324.0,313.0,133.0,561.0,126.0,139.0,1436.0,641.0,218.00000000000003,163.0,2143.0,258.0,111.00000000000001,1089.0,25.0,536.0,354.0,185.0,151.0
0306,03,06,100.0,13286.000000000002,1459.0,434.0,1976.0000000000002,828.9999999999999,1177.0,1317.0,1817.0000000000002,562.0,548.0,248.0,919.9999999999999,171.0,246.0,2902.0,1235.0,513.0,211.0,4564.0,765.0,290.0,2135.0,132.0,852.0,947.0000000000001,1521.0,459.99999999999994
0307,03,07,100.0,9165.0,1109.0,344.0,1241.0,629.0,763.0,1103.0,990.0,310.0,280.0,133.0,514.0,94.0,124.0,1917.0000000000002,869.9999999999999,367.0,146.0,2228.0,519.0,166.0,947.0000000000001,78.0,294.0,458.0,1572.0,307.0
0401,04,01,100.0,3010.0,55.00000000000001,71.0,126.0,39.0,61.0,44.0,1744.0000000000002,267.0,202.0,114.99999999999999,731.0,94.0,256.0,1195.0,434.99999999999994,227.99999999999997,181.0,3840.9999999999995,1561.0,299.0,1377.0,266.0,375.0,121.0,47.0,650.0
0402,04,02,100.0,5101.0,376.0,252.0,440.00000000000006,290.0,243.00000000000003,420.0,1234.0,343.0,306.0,165.0,738.0,158.0,233.0,1433.0,520.0,339.0,89.0,3782.0,940.0,554.0,1435.0,87.0,384.0,138.0,432.0,612.0
0403,04,03,100.0,23104.0,2152.0,1343.0,2613.0,1094.0,1247.0,1558.0,5198.0,1182.0,1422.0,1017.0,4453.0,727.0,1730.0,8158.0,2859.0,2064.0,440.00000000000006,17488.0,6517.0,2019.0000000000002,6289.0,1108.0,1309.0,885.0,2236.0,3499.0
0404,04,04,100.0,6161.0,497.0,335.0,530.0,341.0,238.0,294.0,1734.0,259.0,419.00000000000006,332.0,1046.0,174.0,309.0,3166.0,1282.0,771.0,103.0,3667.0,1073.0,661.0,1259.0,126.0,279.0,100.0,724.0,934.0
