district,forecast_area,district_region,planning_area,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined
3,60,12,45,3476,1352.0,116.0,50.0,233.0,68.0,148.0,220.0,82.0,94.0,39.0,108.0,115.0,25.0,28,393.0,168.0,60.0,32.0,629.0,100.0,63.0,286.0,21.0,86.0,182.0,100.0,58.0
3,60,13,46,1928,819.0,123.0,20.0,166.0,67.0,75.0,67.0,23.0,27.0,17.0,93.0,63.0,22.0,6,200.0,116.0,24.0,9.0,245.0,62.0,20.0,113.0,3.0,44.0,37.0,121.0,25.0
3,60,13,47,3042,1348.0,211.0,65.0,229.0,118.0,155.0,155.0,28.0,50.0,27.0,154.0,80.0,3.0,21,247.0,107.0,43.0,33.0,366.0,65.0,25.0,184.0,3.0,83.0,30.0,225.0,47.0
3,60,13,48,2487,1102.0,166.0,41.0,184.0,94.0,111.0,140.0,33.0,33.0,30.0,137.0,70.0,3.0,21,183.0,113.0,15.0,13.0,241.0,55.0,30.0,100.0,9.0,31.0,15.0,217.0,55.0
3,60,14,49,1828,445.0,13.0,18.0,60.0,9.0,35.0,130.0,56.0,19.0,13.0,29.0,70.0,10.0,12,212.0,67.0,49.0,19.0,573.0,98.0,11.0,221.0,13.0,113.0,260.0,21.0,34.0
3,60,14,50,1701,429.0,15.0,12.0,19.0,0.0,3.0,56.0,126.0,154.0,0.0,17.0,103.0,40.0,53,159.0,61.0,19.0,17.0,707.0,37.0,12.0,399.0,12.0,228.0,130.0,9.0,18.0
3,60,14,51,1910,791.0,110.0,34.0,129.0,38.0,60.0,116.0,24.0,41.0,3.0,67.0,34.0,0.0,19,219.0,101.0,58.0,7.0,282.0,51.0,34.0,133.0,3.0,55.0,45.0,71.0,46.0
3,60,14,52,1398,501.0,32.0,22.0,82.0,15.0,40.0,97.0,33.0,33.0,16.0,44.0,46.0,3.0,18,155.0,84.0,33.0,3.0,206.0,36.0,13.0,82.0,0.0,36.0,111.0,62.0,52.0
3,60,14,53,836,340.0,27.0,3.0,43.0,20.0,59.0,58.0,16.0,15.0,17.0,29.0,45.0,0.0,13,103.0,37.0,46.0,4.0,72.0,15.0,0.0,32.0,9.0,7.0,23.0,53.0,24.0
3,70,15,54,4340,1794.0,279.0,78.0,325.0,131.0,182.0,155.0,43.0,55.0,34.0,222.0,91.0,25.0,17,382.0,182.0,67.0,27.0,446.0,145.0,15.0,172.0,16.0,37.0,56.0,380.0,84.0
3,70,15,55,2354,979.0,182.0,25.0,164.0,82.0,91.0,103.0,25.0,37.0,15.0,164.0,51.0,3.0,21,191.0,93.0,40.0,6.0,221.0,64.0,25.0,82.0,15.0,21.0,33.0,190.0,44.0
3,70,15,56,3425,1343.0,144.0,105.0,222.0,117.0,132.0,102.0,43.0,39.0,25.0,181.0,91.0,16.0,17,392.0,192.0,73.0,22.0,421.0,63.0,54.0,162.0,10.0,42.0,46.0,282.0,51.0
3,70,16,57,1064,267.0,38.0,20.0,31.0,12.0,22.0,39.0,9.0,34.0,0.0,27.0,18.0,0.0,15,161.0,86.0,37.0,17.0,301.0,70.0,3.0,136.0,16.0,61.0,69.0,49.0,10.0
3,70,16,58,2738,1187.0,230.0,59.0,140.0,108.0,123.0,156.0,44.0,22.0,19.0,149.0,62.0,3.0,21,238.0,103.0,45.0,21.0,271.0,80.0,19.0,104.0,6.0,41.0,88.0,159.0,44.0
3,70,16,59,3122,1310.0,189.0,28.0,201.0,100.0,119.0,161.0,95.0,45.0,25.0,142.0,104.0,14.0,35,280.0,128.0,58.0,16.0,356.0,75.0,40.0,150.0,12.0,44.0,94.0,215.0,67.0
3,70,16,60,3607,1536.0,227.0,67.0,216.0,138.0,123.0,215.0,37.0,81.0,16.0,232.0,81.0,19.0,18,318.0,143.0,66.0,13.0,404.0,95.0,36.0,175.0,15.0,56.0,94.0,265.0,87.0
4,10,1,1,5695,1844.0,46.0,50.0,85.0,22.0,41.0,1072.0,148.0,134.0,100.0,36.0,536.0,100.0,133,470.0,190.0,101.0,54.0,2061.0,805.0,211.0,690.0,103.0,206.0,82.0,46.0,280.0
4,10,1,2,4373,1059.0,16.0,18.0,30.0,12.0,17.0,628.0,137.0,54.0,27.0,0.0,245.0,27.0,111,627.0,233.0,144.0,82.0,1957.0,834.0,97.0,756.0,199.0,233.0,61.0,4.0,393.0
4,20,2,3,400,107.0,12.0,6.0,7.0,14.0,6.0,15.0,9.0,4.0,9.0,12.0,28.0,12.0,3,54.0,27.0,6.0,0.0,108.0,24.0,28.0,31.0,3.0,4.0,0.0,18.0,13.0
4,20,2,4,876,260.0,9.0,12.0,40.0,6.0,10.0,94.0,19.0,26.0,3.0,25.0,38.0,16.0,10,128.0,42.0,38.0,0.0,181.0,43.0,32.0,75.0,10.0,17.0,15.0,12.0,38.0
4,20,2,5,784,286.0,35.0,9.0,15.0,37.0,13.0,65.0,17.0,15.0,9.0,40.0,26.0,13.0,4,68.0,15.0,19.0,3.0,157.0,55.0,29.0,24.0,6.0,3.0,15.0,16.0,37.0
4,20,2,6,792,268.0,15.0,13.0,25.0,18.0,13.0,75.0,16.0,3.0,12.0,56.0,27.0,9.0,6,125.0,32.0,24.0,9.0,112.0,32.0,32.0,26.0,0.0,10.0,12.0,40.0,59.0
4,20,2,7,1202,456.0,48.0,18.0,44.0,32.0,52.0,84.0,50.0,24.0,3.0,35.0,21.0,0.0,12,115.0,51.0,42.0,0.0,273.0,58.0,38.0,114.0,3.0,30.0,12.0,41.0,28.0
4,20,3,8,2421,629.0,54.0,44.0,55.0,18.0,30.0,144.0,63.0,43.0,40.0,37.0,160.0,26.0,79,349.0,81.0,56.0,32.0,800.0,145.0,78.0,332.0,30.0,99.0,28.0,49.0,77.0
4,20,3,9,1937,746.0,53.0,41.0,62.0,48.0,40.0,210.0,41.0,58.0,36.0,22.0,143.0,26.0,44,193.0,86.0,32.0,12.0,438.0,125.0,77.0,146.0,18.0,41.0,13.0,64.0,106.0
4,20,3,10,2890,857.0,87.0,39.0,69.0,65.0,36.0,233.0,41.0,78.0,33.0,108.0,150.0,24.0,44,361.0,149.0,86.0,20.0,791.0,219.0,122.0,320.0,21.0,97.0,24.0,98.0,131.0
4,20,3,11,2882,898.0,85.0,46.0,117.0,31.0,45.0,236.0,79.0,79.0,42.0,55.0,189.0,34.0,58,264.0,93.0,78.0,5.0,806.0,243.0,79.0,332.0,32.0,81.0,39.0,65.0,156.0
4,30,4,12,1892,522.0,44.0,24.0,50.0,12.0,15.0,174.0,27.0,32.0,31.0,29.0,102.0,28.0,22,246.0,81.0,57.0,21.0,549.0,137.0,93.0,224.0,28.0,54.0,25.0,37.0,77.0
4,30,4,13,4885,1187.0,122.0,62.0,129.0,53.0,80.0,320.0,83.0,37.0,39.0,49.0,303.0,43.0,124,468.0,178.0,92.0,50.0,1927.0,1083.0,118.0,514.0,51.0,178.0,53.0,98.0,380.0
4,30,4,14,4096,1476.0,169.0,67.0,208.0,88.0,113.0,311.0,71.0,100.0,99.0,90.0,316.0,65.0,102,490.0,174.0,127.0,21.0,956.0,432.0,104.0,252.0,53.0,46.0,35.0,133.0,164.0
4,30,4,15,2445,804.0,80.0,45.0,94.0,49.0,54.0,219.0,37.0,46.0,22.0,76.0,110.0,19.0,25,396.0,163.0,104.0,19.0,508.0,174.0,75.0,169.0,36.0,23.0,19.0,98.0,111.0
4,30,4,16,4879,1765.0,233.0,96.0,223.0,93.0,113.0,316.0,87.0,117.0,88.0,154.0,305.0,52.0,124,517.0,158.0,132.0,28.0,1011.0,262.0,135.0,381.0,60.0,106.0,68.0,177.0,204.0
4,30,5,17,4471,1368.0,109.0,100.0,164.0,52.0,68.0,408.0,75.0,131.0,45.0,59.0,227.0,53.0,58,402.0,155.0,80.0,30.0,1472.0,579.0,127.0,483.0,129.0,65.0,92.0,106.0,252.0
